PC	r2	rho	lc	up	test	gwas	contrast	chrtype_gwas	chrtype_test
1	0.0495618251572345	0.222624852963982	0.219709394514245	0.225536334916085	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
2	0.0496741869596296	-0.0106000846782901	-0.0136650360908539	-0.0075349340775556	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
3	0.0637611075671287	-0.118688333452871	-0.121709447745836	-0.115665020035865	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
4	0.0656169292139628	0.0430792482200598	0.0400191375077513	0.0461385508336643	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
5	0.0656821005092251	-0.00807287299191874	-0.0111379928017921	-0.00500760147602195	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
6	0.0694010932347045	-0.0609835448612829	-0.0640369693115072	-0.0579289785913351	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
7	0.0694090658668806	0.00282358526977222	-0.000241812259958157	0.00588892973544522	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
8	0.0722845481451241	-0.0536235244973473	-0.0566796030935594	-0.0505664410360171	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
9	0.0741002446139307	-0.0426109898714588	-0.0456704198592507	-0.0395507605366186	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
10	0.0762384016560672	-0.046240210886042	-0.0492986185132072	-0.0431809361108511	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
11	0.0766544915923799	0.0203982826153805	0.0173339710510847	0.0234622109881719	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
12	0.0771700330799546	-0.0227055401239949	-0.0257691419908602	-0.0196415117651251	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
13	0.0783272720619849	-0.0340182167447431	-0.0370797455320873	-0.0309560493827345	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
14	0.0785534387855056	-0.0150388404669433	-0.0181034013370167	-0.0119739970313747	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
15	0.0785584103313144	-0.00222969656348947	-0.00529505580905091	0.000835704585216435	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
16	0.0791574903856343	0.0244761118890765	0.0214123229966912	0.0275394410701547	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
17	0.079709847614925	-0.0235022815844736	-0.0265657631230483	-0.0204383586044747	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
18	0.0811000518690392	-0.0372854422333072	-0.0403462263132688	-0.0342239584110347	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
19	0.0815972358103958	-0.0222976211532513	-0.0253612831202733	-0.0192335403487231	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
20	0.0816133784525028	0.00401779021737478	0.000952406510576414	0.00708309841786169	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
21	0.0821560338064879	-0.0232949637653147	-0.026358476988672	-0.0202310129903192	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
22	0.0828501758537139	-0.0263465743786193	-0.0294095946180147	-0.0232830593438843	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
23	0.0831330654805988	-0.0168193225855472	-0.0198836928613493	-0.0137546363086154	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
24	0.0840118802069854	0.0296448088046046	0.026581828940037	0.0327072320350393	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
25	0.0840403319936329	-0.00533402205836282	-0.00839928015943032	-0.00226866371627937	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
26	0.0844333366304893	-0.0198243450649477	-0.0228883495891211	-0.0167599681223609	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
27	0.084707477946055	-0.0165572128203862	-0.0196216123738796	-0.0134925021875543	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
28	0.0855109535121099	-0.0283456441286154	-0.0314083104781638	-0.0252824454989334	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
29	0.0855165978792849	-0.00237578693884812	-0.00544114274924118	0.000689613520165738	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
30	0.0867116098122197	0.0345689446381154	0.0315068879070444	0.037630352481045	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
31	0.0867871615847766	-0.00869205326363325	-0.01175713543644	-0.00562680775081758	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
32	0.0884893211792964	0.0412572377617489	0.0381966730486306	0.0443170284350616	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
33	0.088601302871245	0.010582140281208	0.00751698868388119	0.0136470930274851	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
34	0.0886478731581854	0.00682424248355416	0.00375892567977986	0.00988943104327591	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
35	0.0886876626552566	-0.00630789065321869	-0.00937310484993066	-0.00324255791515244	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
36	0.0887704547806709	0.00909901653693764	0.00603378939514967	0.0121640726923503	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
37	0.0895233018532196	-0.0274380581061795	-0.0305008881590326	-0.0243747127899169	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
38	0.0904752824319426	-0.0308541837878705	-0.0339163714049108	-0.027791416870951	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
39	0.0906411785284903	0.0128800649634186	0.00981505704958642	0.0159448308585033	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
40	0.091656480030369	-0.0318637964978058	-0.0349257805541741	-0.0288012142235858	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-even
1	0.0487147030746066	0.220714075388514	0.217796035504757	0.223628169390925	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
2	0.048726979363485	0.00350375387842039	0.000438363149864852	0.00656907876069224	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
3	0.060281454417075	-0.10749174368817	-0.110520722027496	-0.104460768565692	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
4	0.0622460259093707	0.0443234868247383	0.0412636978459419	0.0473824444554645	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
5	0.0622486548271529	0.00162139480921325	-0.00144400780456504	0.00468676695171522	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
6	0.0652518974824938	-0.0548018490480388	-0.0578575250374568	-0.0517451462441537	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
7	0.0654740055832599	-0.0149032913662386	-0.017967865950349	-0.0118384367623348	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
8	0.0656086713256075	-0.0116045578560142	-0.0146694314635496	-0.00853946618992921	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
9	0.0656086743662964	-5.51422654082922e-05	-0.00312053717468224	0.0030102536801707	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
10	0.0656852699215564	0.00875188782366023	0.00568664494820659	0.0118169662348728	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
11	0.0656856172688799	-0.00058936196870307	-0.00365475080267704	0.00247603794132238	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
12	0.0657373030511414	-0.00718928373464311	-0.0102544531837762	-0.004123979182139	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
13	0.0658012373716562	-0.00799589481137503	-0.0110610191361337	-0.00493062022698669	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
14	0.0662543277932617	-0.0212859202672333	-0.0243497268900754	-0.0182217137929898	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
15	0.066380758927437	0.0112441596243682	0.00817904610131019	0.014309061859296	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
16	0.069018588081926	0.0513598013904997	0.0483020105305559	0.0544166295764337	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
17	0.0690193697038502	-0.000884094331172935	-0.00394947906444198	0.00218130701713168	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
18	0.0702981826661176	-0.035760493794251	-0.0388216336014073	-0.0326986827888929	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
19	0.071340040280275	0.0322778197956683	0.0292153150472775	0.035339718569353	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
20	0.0714433160403037	-0.0101624690511338	-0.0132274524264648	-0.00709729470921377	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
21	0.0728745734336807	-0.0378319621408035	-0.0408926152640619	-0.0347705990477891	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
22	0.0746060517762913	-0.0416110347816349	-0.0446707322754622	-0.0385505566332338	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
23	0.0746414771659164	-0.00595192295559915	-0.00901715387439678	-0.00288658018450007	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
24	0.0749371445339786	-0.0171949810287434	-0.0202593086091575	-0.0141303303934644	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
25	0.0750978958670782	-0.0126787751000786	-0.0157435586561871	-0.00961375330626954	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
26	0.0761240262744297	-0.0320332711727001	-0.0350952204467949	-0.0289707205055184	hgdp-all	WBS	EUROPE-MIDDLEEAST	chr-even	test-odd
