error	rep	L	contrast
0.710406575987873	A1	1000	east
0.770703150567047	A1	1000	north
0.348934247575192	A1	5000	east
0.406381953632815	A1	5000	north
0.217537709432344	A1	10000	east
0.263716314240557	A1	10000	north
0.0703896083534943	A1	50000	east
0.0846563866755112	A1	50000	north
0.0498733496721321	A1	1e+05	east
0.0602321716618925	A1	1e+05	north
0.0330405471726049	A1	5e+05	east
0.0378544781030776	A1	5e+05	north
0.0305874592961162	A1	1e+06	east
0.034155048291735	A1	1e+06	north
