q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast
-0.160021167649283	0.0251059015459846	-6.48574430000001	0.155966876041639	StandingHeight_Normalized_50	FALSE	10	Basque-Adygei.all-PC10.results
0.08119562982719	0.278145291453384	5.0981675	0.22199261228919	StandingHeight_Normalized_50	FALSE	10	BergamoItalian-Basque.all-PC10.results
-0.257437692073544	9.53239335761939e-05	-14.7683155	0.000423037847184326	StandingHeight_Normalized_50	FALSE	10	Sardinian-Orcadian.all-PC10.results
-0.0680654472505251	0.348721370280302	-2.9892441	0.522410964232282	StandingHeight_Normalized_50	FALSE	10	Tuscan-Basque.all-PC10.results
-0.228086614899808	0.00528404719578622	-9.4749884	0.0599813515318577	StandingHeight_Normalized_50	FALSE	10	Tuscan-Adygei.all-PC10.results
0.009203368535729	0.90361584794229	-0.5782779	0.892761997312294	StandingHeight_Normalized_50	FALSE	10	Orcadian-BergamoItalian.all-PC10.results
-0.01040933931278	0.865118910546655	0.193245999999999	0.959877654883767	StandingHeight_Normalized_50	FALSE	10	French-Adygei.all-PC10.results
0.090398998362919	0.178690143477353	4.5198896	0.279624365425622	StandingHeight_Normalized_50	FALSE	10	Orcadian-Basque.all-PC10.results
-0.0989732464601	0.158187669530806	-7.2591818	0.106022926548299	StandingHeight_Normalized_50	FALSE	10	Sardinian-Tuscan.all-PC10.results
0.149261077077715	0.0711059010868599	8.0874116	0.0914686211618153	StandingHeight_Normalized_50	FALSE	10	BergamoItalian-Tuscan.all-PC10.results
-0.167038693710625	0.00796813259493566	-10.2484259	0.00845403312403064	StandingHeight_Normalized_50	FALSE	10	Sardinian-Basque.all-PC10.results
0.016697810671493	0.794984699637933	0.873412799999998	0.828832430978619	StandingHeight_Normalized_50	FALSE	10	Russian-Basque.all-PC10.results
0.316650522047128	8.03987484580497e-09	16.9274162	6.83024297925176e-07	StandingHeight_Normalized_50	FALSE	10	French-Sardinian.all-PC10.results
0.158464445613444	0.0382500010460636	7.50913369999999	0.116566441157065	StandingHeight_Normalized_50	FALSE	10	Orcadian-Tuscan.all-PC10.results
0.217677275587028	0.00107665874707312	9.6682344	0.0234471849288128	StandingHeight_Normalized_50	FALSE	10	French-Tuscan.all-PC10.results
-0.069622169286364	0.31457194674524	-1.9658547	0.652468937247934	StandingHeight_Normalized_50	FALSE	10	Orcadian-Adygei.all-PC10.results
0.312469251830019	0.574512453148658	13.8218523849483	0.695019421613685	StandingHeight_Normalized_50	FALSE	10	Long.all-PC10.results
0.13291401766501	0.00975775079222777	5.8055775	0.0686488740426762	StandingHeight_Normalized_50	FALSE	10	French-Russian.all-PC10.results
-0.183736504382118	0.00693234001990562	-11.1218387	0.00750622463724836	StandingHeight_Normalized_50	FALSE	10	Sardinian-Russian.all-PC10.results
0.073701187691426	0.231272322610722	3.6464768	0.346218051918051	StandingHeight_Normalized_50	FALSE	10	Orcadian-Russian.all-PC10.results
-0.14332335697779	0.0310247026615135	-5.61233150000001	0.168614893152943	StandingHeight_Normalized_50	FALSE	10	Russian-Adygei.all-PC10.results
-0.064497819155697	0.395874246099285	-4.2247547	0.31921780421881	StandingHeight_Normalized_50	FALSE	10	Russian-BergamoItalian.all-PC10.results
