PC	r2	rho	lc	up
1	0.0848225289627338	-0.291243075390186	-0.316407990116514	-0.265668538425923
2	0.0923290159360351	-0.0866399779072582	-0.114085283733422	-0.0590625294935911
3	0.0931655292226332	-0.0289225474596743	-0.0565964662826004	-0.00120421997687816
4	0.0942280833469699	-0.0325968405346518	-0.0602616833265244	-0.00488195876292251
5	0.100538989852071	-0.0794412177534116	-0.106925055886323	-0.0518360706790645
6	0.100627724455728	-0.0094199057668436	-0.0371295036871057	0.0183041666124248
7	0.100944504204043	0.0177982878905033	-0.00992590203346165	0.0454951355155318
8	0.101043867618607	0.00996811054842986	-0.0177560885392978	0.0376769929781579
9	0.101172582020886	0.0113452397456177	-0.0163792041407309	0.0390522514356363
10	0.101228460910765	-0.00747522377122315	-0.0351872256205672	0.0202482647506288
11	0.101304203466728	-0.00870302576056597	-0.0364135342180097	0.0190208557844889
12	0.101348979564125	-0.00669150088490672	-0.0344044123492157	0.0210316930718587
13	0.101402115074774	0.00728939876719467	-0.0204340229908556	0.0350016193667854
14	0.101409834684036	0.00277843257364307	-0.0249427813453364	0.0304953768570983
15	0.101465130083927	-0.00743608948112366	-0.0351481375576395	0.0202873851395374
16	0.101902054368636	0.0209027383793177	-0.00682050640543385	0.0485938755653335
17	0.101947729008023	-0.00675830142346303	-0.0344711366825453	0.0209649189677756
18	0.101956351503605	-0.00293640144582761	-0.0306531993506133	0.0247849088422117
19	0.102039425364065	-0.00911448807259985	-0.0368244773938771	0.0186095064875336
20	0.102079366275788	0.00631986798085646	-0.0214031743969405	0.0340331988888418
21	0.102148051745862	0.0082876542850313	-0.0194361036516532	0.0359986773049708
22	0.103197314255708	0.0323923316406016	0.00467723837691452	0.0600576992022531
23	0.1032173918019	-0.00448080072615642	-0.0321960947432734	0.023241378881741
24	0.10322005002485	-0.00163039371790225	-0.0293483602879425	0.0260900783015088
25	0.103343434778653	0.0111078851959403	-0.0166165239981362	0.0388152268029779
26	0.10347411750168	-0.0114316502322206	-0.0391385410396052	0.0162928055084515
27	0.103622264945641	-0.0121715642508649	-0.0398774030483932	0.0155529760445538
28	0.103640146811416	-0.0042286867483029	-0.031944235287301	0.0234933599753175
29	0.103641648654603	0.00122550826546117	-0.0264946846859577	0.0289438179586053
30	0.10373332275377	-0.00957467381529364	-0.0372840714249545	0.0181494360239723
31	0.10373538074965	0.00143458400959743	-0.0262857541817013	0.0291527176537856
32	0.103794065115578	-0.00766058511789376	-0.0353723668582635	0.0200629680942687
33	0.10390277771217	-0.0104265361044106	-0.0381348074480355	0.0172977561485686
34	0.103911244240825	-0.00290973894284502	-0.0306265616508477	0.0248115551767018
35	0.104076025753381	-0.0128367114920015	-0.0405415787234304	0.0148878789021301
36	0.10410899947839	0.00574226643903632	-0.0219805251566451	0.0334562340789665
37	0.104183799556825	-0.00864870987806819	-0.0363592861648689	0.0190751560469613
38	0.104261701385916	-0.00882619031525524	-0.0365365443605024	0.0188977260432552
39	0.104313533085546	-0.0071994064157467	-0.0349117322658198	0.0205239823216406
40	0.104491057569122	-0.0133238328388922	-0.0410279730125428	0.0144007786818232
