varE	testSize	gwasSize	contrast
0.284852897884414	tp1_50000	gp60000	sharp
0.0782956842179497	tp1_50000	gp60000	north
0.062331072231133	tp1_50000	gp60000	east
0.268459316935528	tp2_50000	gp60000	sharp
0.0842876569151365	tp2_50000	gp60000	north
0.065166207712797	tp2_50000	gp60000	east
0.299704467627407	tp3_50000	gp60000	sharp
0.0793766635842284	tp3_50000	gp60000	north
0.0633485487928841	tp3_50000	gp60000	east
0.263140631731171	tp4_50000	gp60000	sharp
0.0811360754578872	tp4_50000	gp60000	north
0.0576488708163528	tp4_50000	gp60000	east
