q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast	rep	testSize	gwasSize
-2.1518661846052	0.0314078952527604	-2.60287789813775	0.00924448711816085	StandingHeight_50	FALSE	0	sharp	tp1	50000	50000
-1.96435226511851	0.0494892544901735	-2.55823195210088	0.0105205892425504	StandingHeight_50	FALSE	0	sharp	tp2	50000	50000
-2.52476726917695	0.0115774932243703	-2.91384260137118	0.00357009858876892	StandingHeight_50	FALSE	0	sharp	tp3	50000	50000
-2.97907237013985	0.00289122482757149	-3.19187424672817	0.00141352859269996	StandingHeight_50	FALSE	0	sharp	tp4	50000	50000
3.6896024410455	0.000224604772854588	3.36937564418251	0.000753386779038867	StandingHeight_50	FALSE	10	sharp	tp1	50000	50000
2.69128626113453	0.00711770911467125	2.72505843381971	0.0064290107761773	StandingHeight_50	FALSE	10	sharp	tp2	50000	50000
0.211922025010771	0.832167867360838	-0.0496475111837395	0.960403284840004	StandingHeight_50	FALSE	10	sharp	tp3	50000	50000
2.96295516775659	0.00304700944619907	3.31297599082456	0.000923089036960796	StandingHeight_50	FALSE	10	sharp	tp4	50000	50000
3.51027519975386	0.000447643137522744	3.24968909155445	0.00115531241877292	StandingHeight_50	FALSE	40	sharp	tp1	50000	50000
2.70331772814244	0.00686510885969628	2.74822483882448	0.00599189046260191	StandingHeight_50	FALSE	40	sharp	tp2	50000	50000
-0.181801035394981	0.855738871935958	-0.527509529811629	0.597839800353845	StandingHeight_50	FALSE	40	sharp	tp3	50000	50000
2.4045004963786	0.0161945842245877	2.73907058826235	0.0061613143262923	StandingHeight_50	FALSE	40	sharp	tp4	50000	50000
-4.12452247539703	3.71504715888565e-05	-3.3078353576856	0.0009402006657476	StandingHeight_50	FALSE	0	north	tp1	50000	50000
-5.23544687563706	1.6458616041236e-07	-4.15056693981524	3.31652752002093e-05	StandingHeight_50	FALSE	0	north	tp2	50000	50000
-4.25137047831507	2.12466370480128e-05	-3.46258546160531	0.000535011977155847	StandingHeight_50	FALSE	0	north	tp3	50000	50000
-5.09924303741933	3.41014466191538e-07	-4.38047767891327	1.18419423237146e-05	StandingHeight_50	FALSE	0	north	tp4	50000	50000
-0.109954175914657	0.912445716802846	-0.037070327603732	0.970428930901955	StandingHeight_50	FALSE	10	north	tp1	50000	50000
-0.442316747096803	0.658260013880379	-0.0199606561852492	0.984074758123152	StandingHeight_50	FALSE	10	north	tp2	50000	50000
-0.195484817567688	0.845013422226945	-0.18794390401481	0.850920625515122	StandingHeight_50	FALSE	10	north	tp3	50000	50000
-0.831689018322765	0.405584500843919	-0.744179322174141	0.456767995956076	StandingHeight_50	FALSE	10	north	tp4	50000	50000
0.0128702551870394	0.989731305583811	0.185436846147352	0.852886410497709	StandingHeight_50	FALSE	40	north	tp1	50000	50000
-0.221652868669456	0.824584122760765	0.258776812107103	0.795807449866739	StandingHeight_50	FALSE	40	north	tp2	50000	50000
-0.154325934359099	0.877352749602362	0.11001630301865	0.912396445460461	StandingHeight_50	FALSE	40	north	tp3	50000	50000
-0.488236688045351	0.625382200556191	-0.254205451727678	0.799336839050364	StandingHeight_50	FALSE	40	north	tp4	50000	50000
9.07027365996549	1.18718466892645e-19	7.65019199887386	2.00679451825549e-14	StandingHeight_50	FALSE	0	east	tp1	50000	50000
8.48277805303906	2.1987984255187e-17	6.88089894459009	5.94760335371361e-12	StandingHeight_50	FALSE	0	east	tp2	50000	50000
7.71702170169443	1.19079383402235e-14	6.50879581133439	7.57556110693931e-11	StandingHeight_50	FALSE	0	east	tp3	50000	50000
8.2111323647538	2.19112173780323e-16	6.634964441054	3.24580773278078e-11	StandingHeight_50	FALSE	0	east	tp4	50000	50000
2.09419234063835	0.0362428498062518	1.5258511127572	0.12704694804605	StandingHeight_50	FALSE	10	east	tp1	50000	50000
1.55055906284749	0.121007388985902	1.51997671730509	0.128516827364215	StandingHeight_50	FALSE	10	east	tp2	50000	50000
0.952275737916569	0.340957159036613	0.669776808836599	0.503000079453517	StandingHeight_50	FALSE	10	east	tp3	50000	50000
1.27727078751209	0.201506663239806	1.28736842998051	0.197965902604041	StandingHeight_50	FALSE	10	east	tp4	50000	50000
1.80253060406008	0.0714619641565027	1.21883884785254	0.222905363612562	StandingHeight_50	FALSE	40	east	tp1	50000	50000
1.17018654320039	0.241925906997653	0.910056556204591	0.362792684161406	StandingHeight_50	FALSE	40	east	tp2	50000	50000
0.666425386495467	0.505139240429954	0.0356138322616108	0.971590278769222	StandingHeight_50	FALSE	40	east	tp3	50000	50000
0.481610599208554	0.630082595280929	0.238685067110659	0.81134979684877	StandingHeight_50	FALSE	40	east	tp4	50000	50000
-0.478923361045415	0.631993151073892	-1.64070704009987	0.100858242833084	StandingHeight_50	TRUE	0	sharp	tp1	50000	50000
0.336639011890163	0.736389043731833	-0.966678670562388	0.333704693028584	StandingHeight_50	TRUE	0	sharp	tp2	50000	50000
1.19246212205626	0.233080094394917	0.159197794239691	0.873513041642827	StandingHeight_50	TRUE	0	sharp	tp3	50000	50000
0.768077891657434	0.442440910647222	-0.231773223804191	0.816714155109107	StandingHeight_50	TRUE	0	sharp	tp4	50000	50000
3.60539062722573	0.000311683741543295	3.27336335214737	0.00106275763428638	StandingHeight_50	TRUE	10	sharp	tp1	50000	50000
2.48874272010468	0.0128195698158596	2.42091458236126	0.0154815145904691	StandingHeight_50	TRUE	10	sharp	tp2	50000	50000
0.178785207751411	0.858106360645237	-0.0591250770686133	0.952852484965002	StandingHeight_50	TRUE	10	sharp	tp3	50000	50000
3.02580065997203	0.00247975727878139	3.37087529907986	0.000749297670182161	StandingHeight_50	TRUE	10	sharp	tp4	50000	50000
3.43628672122331	0.000589746483367054	3.14655072078655	0.00165208604337121	StandingHeight_50	TRUE	40	sharp	tp1	50000	50000
2.42367629341515	0.0153642939102806	2.48785543899402	0.012851596022273	StandingHeight_50	TRUE	40	sharp	tp2	50000	50000
-0.222627680587132	0.823825291066325	-0.562014112518083	0.574106403912426	StandingHeight_50	TRUE	40	sharp	tp3	50000	50000
2.57532213397974	0.0100146766672348	2.83218020934237	0.00462317849108769	StandingHeight_50	TRUE	40	sharp	tp4	50000	50000
-1.97283875333623	0.0485139363721936	-1.36546261623155	0.172107695135112	StandingHeight_50	TRUE	0	north	tp1	50000	50000
-0.92742925681007	0.353703706203953	-0.149929608263104	0.880820151723211	StandingHeight_50	TRUE	0	north	tp2	50000	50000
-1.35955352191645	0.173971254596203	-0.87516116236946	0.381486221831684	StandingHeight_50	TRUE	0	north	tp3	50000	50000
-1.95917472084256	0.0500923285286082	-1.42256208875025	0.15486314063046	StandingHeight_50	TRUE	0	north	tp4	50000	50000
-0.137505369224948	0.890631349031324	-0.0717024647786066	0.94283869460417	StandingHeight_50	TRUE	10	north	tp1	50000	50000
-0.353828362401795	0.723467516608923	0.0991782035559071	0.920996780565383	StandingHeight_50	TRUE	10	north	tp2	50000	50000
-0.181561805673144	0.855926625231873	-0.184611789736333	0.853533538025783	StandingHeight_50	TRUE	10	north	tp3	50000	50000
-0.827455545753121	0.407978908616419	-0.744432484234759	0.456614872752903	StandingHeight_50	TRUE	10	north	tp4	50000	50000
-0.154336599253035	0.877344340985607	-0.026947845674689	0.978501332027422	StandingHeight_50	TRUE	40	north	tp1	50000	50000
-0.201224918571813	0.840522707781375	0.274381859678332	0.783791182148684	StandingHeight_50	TRUE	40	north	tp2	50000	50000
-0.155231391782311	0.876638901175308	0.103598146925431	0.917488258291037	StandingHeight_50	TRUE	40	north	tp3	50000	50000
-0.602970290767802	0.546528453386364	-0.34957699934843	0.726656174962492	StandingHeight_50	TRUE	40	north	tp4	50000	50000
3.61329152476745	0.000302334454636793	2.81399990592494	0.0048929242688357	StandingHeight_50	TRUE	0	east	tp1	50000	50000
2.72821007652346	0.00636790397215258	1.72671689538337	0.0842185198350493	StandingHeight_50	TRUE	0	east	tp2	50000	50000
2.34169711134257	0.0191962864907977	1.71914203372098	0.0855885126187599	StandingHeight_50	TRUE	0	east	tp3	50000	50000
1.95319223705666	0.0507968205953705	0.947445025457962	0.343412056867638	StandingHeight_50	TRUE	0	east	tp4	50000	50000
1.75286743769638	0.0796247640877727	1.15039980814837	0.249979239132259	StandingHeight_50	TRUE	10	east	tp1	50000	50000
1.49121096560207	0.135906115603296	1.32730877238754	0.184406563168715	StandingHeight_50	TRUE	10	east	tp2	50000	50000
0.970394355732307	0.331849961016775	0.523554954661798	0.600588118884616	StandingHeight_50	TRUE	10	east	tp3	50000	50000
1.19721205809242	0.231223911141177	1.16603661211341	0.243599643089701	StandingHeight_50	TRUE	10	east	tp4	50000	50000
1.78118723954283	0.0748818675593629	1.20795332121045	0.227065217815375	StandingHeight_50	TRUE	40	east	tp1	50000	50000
1.14219824750959	0.253371624271097	0.888166830585267	0.374451018058983	StandingHeight_50	TRUE	40	east	tp2	50000	50000
0.629969604318088	0.528714471281588	-0.0113010648242098	0.990983246784242	StandingHeight_50	TRUE	40	east	tp3	50000	50000
0.397409501859961	0.691065509749512	0.141221240892885	0.887695166428724	StandingHeight_50	TRUE	40	east	tp4	50000	50000
