q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast	rep	testSize	gwasSize
-1.24266952121629	0.213989639755837	-0.79043993442063	0.429270887950164	StandingHeight_50	FALSE	0	sharp	tp1	50000	80000
-3.70075297039739	0.000214960663340519	-3.75302251126639	0.000174715158631386	StandingHeight_50	FALSE	0	sharp	tp2	50000	80000
-2.69073968050523	0.00712938020830099	-2.48717840738331	0.0128760809195307	StandingHeight_50	FALSE	0	sharp	tp3	50000	80000
-3.41443099356499	0.000639153818834747	-3.58827945982419	0.000332867392431447	StandingHeight_50	FALSE	0	sharp	tp4	50000	80000
3.79203000582873	0.000149420854756864	4.20132857269182	2.65353139367273e-05	Educational_Attainment_6138	FALSE	0	sharp	tp1	50000	80000
6.27956488801415	3.3952187333264e-10	6.43377303806102	1.24474684371932e-10	Educational_Attainment_6138	FALSE	0	sharp	tp2	50000	80000
4.25343180426826	2.10519070567481e-05	4.67580762784807	2.92798989054312e-06	Educational_Attainment_6138	FALSE	0	sharp	tp3	50000	80000
5.06953148834513	3.9879615849141e-07	5.19739136101562	2.0210458091532e-07	Educational_Attainment_6138	FALSE	0	sharp	tp4	50000	80000
-0.100218707298241	0.920170694507674	0.0569588440445414	0.954577979581119	StandingHeight_50	FALSE	10	sharp	tp1	50000	80000
1.36107871237092	0.173488816154862	1.20897873572449	0.226671014892139	StandingHeight_50	FALSE	10	sharp	tp2	50000	80000
4.66479556792908	3.0892400394749e-06	4.21810153266506	2.46367883414079e-05	StandingHeight_50	FALSE	10	sharp	tp3	50000	80000
1.79540395176575	0.0725893633107898	1.96871128584436	0.0489862545695233	StandingHeight_50	FALSE	10	sharp	tp4	50000	80000
0.956519999230086	0.338809585266292	1.04648376036412	0.295337738838454	Educational_Attainment_6138	FALSE	10	sharp	tp1	50000	80000
1.54268869395598	0.122906326380964	1.83672564804357	0.0662504069700197	Educational_Attainment_6138	FALSE	10	sharp	tp2	50000	80000
2.45875137940266	0.0139421131689305	2.41262442582085	0.0158381304655765	Educational_Attainment_6138	FALSE	10	sharp	tp3	50000	80000
-0.12512007993865	0.900428486723129	0.359711728828207	0.719062720044078	Educational_Attainment_6138	FALSE	10	sharp	tp4	50000	80000
0.324041936060776	0.745906285271522	0.394985323642031	0.692853719238496	StandingHeight_50	FALSE	40	sharp	tp1	50000	80000
1.05510679883878	0.291376482927963	0.836910770118346	0.402642726010885	StandingHeight_50	FALSE	40	sharp	tp2	50000	80000
4.54511213886947	5.4906014630352e-06	4.04700681283782	5.18767319770898e-05	StandingHeight_50	FALSE	40	sharp	tp3	50000	80000
1.38318388409255	0.166608489944402	1.54305621349695	0.122817137405292	StandingHeight_50	FALSE	40	sharp	tp4	50000	80000
0.8012891472326	0.422964272264894	0.871543123788679	0.383457670398257	Educational_Attainment_6138	FALSE	40	sharp	tp1	50000	80000
1.6628410880519	0.0963442494968317	2.19407123706383	0.0282302886752669	Educational_Attainment_6138	FALSE	40	sharp	tp2	50000	80000
2.49063903307375	0.0127513594985877	2.5637625690595	0.0103544349380898	Educational_Attainment_6138	FALSE	40	sharp	tp3	50000	80000
0.157316613168285	0.874995327866182	0.547044927072423	0.584347866827373	Educational_Attainment_6138	FALSE	40	sharp	tp4	50000	80000
2.70912263721659	0.00674613986409218	2.37760942665598	0.0174252719057024	StandingHeight_50	FALSE	0	north	tp1	50000	80000
2.52944486236326	0.0114243122587688	1.86942916041122	0.0615631307451772	StandingHeight_50	FALSE	0	north	tp2	50000	80000
2.40830237536252	0.0160269007218513	1.93353264087542	0.0531706160965853	StandingHeight_50	FALSE	0	north	tp3	50000	80000
3.4005476388564	0.00067251016492857	2.74359430842833	0.00607705894954957	StandingHeight_50	FALSE	0	north	tp4	50000	80000
-11.6526882291541	2.22332645593138e-31	-12.0536700697144	1.85502525867329e-33	Educational_Attainment_6138	FALSE	0	north	tp1	50000	80000
-11.4778706157424	1.70426156318232e-30	-12.1851694466889	3.72877517608992e-34	Educational_Attainment_6138	FALSE	0	north	tp2	50000	80000
-11.9465144778831	6.77056811239979e-33	-12.7891247912399	1.88585686596738e-37	Educational_Attainment_6138	FALSE	0	north	tp3	50000	80000
-9.43319863980262	3.97769994856752e-21	-10.3040133316574	6.75815978899719e-25	Educational_Attainment_6138	FALSE	0	north	tp4	50000	80000
-0.393150144276751	0.694208589989163	0.032149877023082	0.97435252783458	StandingHeight_50	FALSE	10	north	tp1	50000	80000
-1.4492456669784	0.147268988443156	-1.32420190612234	0.185435997984096	StandingHeight_50	FALSE	10	north	tp2	50000	80000
-1.48115158155651	0.138566185207526	-1.34427190474789	0.178860477239568	StandingHeight_50	FALSE	10	north	tp3	50000	80000
-1.24021856120234	0.21489456487435	-1.11248103155164	0.26593138137948	StandingHeight_50	FALSE	10	north	tp4	50000	80000
-0.512903963013902	0.608018501134884	-0.585847743205408	0.557977836748737	Educational_Attainment_6138	FALSE	10	north	tp1	50000	80000
-0.874248324399595	0.381983034405527	-0.717251527778874	0.473218910193218	Educational_Attainment_6138	FALSE	10	north	tp2	50000	80000
-1.22799756991488	0.219447880214844	-1.30034292418357	0.193483462498756	Educational_Attainment_6138	FALSE	10	north	tp3	50000	80000
-0.118556256115547	0.90562692340483	-0.676532046337323	0.498702906748812	Educational_Attainment_6138	FALSE	10	north	tp4	50000	80000
0.126305004145377	0.899490495249403	1.09158785701361	0.27501429585377	StandingHeight_50	FALSE	40	north	tp1	50000	80000
-1.41449166796987	0.157217592065952	-1.02861730187219	0.303659544353591	StandingHeight_50	FALSE	40	north	tp2	50000	80000
-1.44591445730315	0.148201196399179	-1.00385524191741	0.315448392878426	StandingHeight_50	FALSE	40	north	tp3	50000	80000
-0.860626266093131	0.389443914749821	-0.542455247389412	0.587504929107897	StandingHeight_50	FALSE	40	north	tp4	50000	80000
-0.315047280669416	0.752725755554643	-0.456810510827437	0.647807250260912	Educational_Attainment_6138	FALSE	40	north	tp1	50000	80000
-2.16033571184883	0.0307466902882745	-2.37765311266607	0.0174232078530935	Educational_Attainment_6138	FALSE	40	north	tp2	50000	80000
-0.808583228430247	0.418754915039175	-0.734687857865715	0.462529616789964	Educational_Attainment_6138	FALSE	40	north	tp3	50000	80000
-0.128706066087457	0.897590235293591	-0.608605538261498	0.542785932648776	Educational_Attainment_6138	FALSE	40	north	tp4	50000	80000
-5.42044543385576	5.94507170597726e-08	-4.63446400816134	3.57863487946375e-06	StandingHeight_50	FALSE	0	east	tp1	50000	80000
-5.61595749828775	1.95476709768385e-08	-5.02382552976625	5.06522551437031e-07	StandingHeight_50	FALSE	0	east	tp2	50000	80000
-5.27903545669098	1.29865676224412e-07	-4.63748181409466	3.52679630150928e-06	StandingHeight_50	FALSE	0	east	tp3	50000	80000
-6.58097042850741	4.67387546791964e-11	-5.97591255338495	2.28805717222982e-09	StandingHeight_50	FALSE	0	east	tp4	50000	80000
12.3307720803524	6.18512262792128e-35	13.0485059420919	6.48058356822559e-39	Educational_Attainment_6138	FALSE	0	east	tp1	50000	80000
13.1772324445699	1.18664606253725e-39	13.8153388227377	2.0598277054489e-43	Educational_Attainment_6138	FALSE	0	east	tp2	50000	80000
14.5661803244646	4.60953611396722e-48	15.0316217183032	4.55711031311258e-51	Educational_Attainment_6138	FALSE	0	east	tp3	50000	80000
11.6325180141696	2.81664389552218e-31	12.5724056441521	2.99470684898009e-36	Educational_Attainment_6138	FALSE	0	east	tp4	50000	80000
1.35410394784198	0.175703216880767	0.650557085398624	0.515332440402191	StandingHeight_50	FALSE	10	east	tp1	50000	80000
1.7649626258063	0.0775700472180311	1.77375702448691	0.0761033495002509	StandingHeight_50	FALSE	10	east	tp2	50000	80000
3.23883529623325	0.00120018858824952	3.26334417199528	0.00110105716093515	StandingHeight_50	FALSE	10	east	tp3	50000	80000
2.3229012934449	0.0201844556372988	2.10290552721729	0.035474028587783	StandingHeight_50	FALSE	10	east	tp4	50000	80000
0.323187507321464	0.746553241397384	-0.0601765283402578	0.952015039500441	Educational_Attainment_6138	FALSE	10	east	tp1	50000	80000
0.131636859459741	0.895271529569264	0.109497911721963	0.912807578015599	Educational_Attainment_6138	FALSE	10	east	tp2	50000	80000
-0.659271334325373	0.509721546639498	-0.60609867780539	0.544449228932368	Educational_Attainment_6138	FALSE	10	east	tp3	50000	80000
-0.914904354622314	0.360241843795596	-0.494785069524088	0.620751844639849	Educational_Attainment_6138	FALSE	10	east	tp4	50000	80000
1.16933866873237	0.242267209426747	0.0856076214056225	0.931778339699256	StandingHeight_50	FALSE	40	east	tp1	50000	80000
1.01601840881582	0.309620620370822	0.622561817672263	0.533572508946361	StandingHeight_50	FALSE	40	east	tp2	50000	80000
3.27519414079241	0.00105589383269053	3.07085234183737	0.00213448679819575	StandingHeight_50	FALSE	40	east	tp3	50000	80000
2.04211548182046	0.041140077526698	1.67283264334526	0.0943602466997083	StandingHeight_50	FALSE	40	east	tp4	50000	80000
-0.198680524914241	0.842512659180813	-0.670077062047078	0.502808666386108	Educational_Attainment_6138	FALSE	40	east	tp1	50000	80000
0.612022634657909	0.540522782116017	0.78132995263779	0.434608457796421	Educational_Attainment_6138	FALSE	40	east	tp2	50000	80000
-0.436920495905958	0.662169007251126	-0.305858780645124	0.759712171128156	Educational_Attainment_6138	FALSE	40	east	tp3	50000	80000
-1.12014924184211	0.26265016973668	-0.364857493932893	0.715217785090472	Educational_Attainment_6138	FALSE	40	east	tp4	50000	80000
-0.404256442616973	0.686024152104987	0.340545532996175	0.733445739154167	StandingHeight_50	TRUE	0	sharp	tp1	50000	80000
-2.25328638255321	0.0242410978055868	-2.09475874727927	0.036192443965434	StandingHeight_50	TRUE	0	sharp	tp2	50000	80000
-1.12376943547164	0.261110851025654	-0.581185414693144	0.561115496610613	StandingHeight_50	TRUE	0	sharp	tp3	50000	80000
-1.75311389421205	0.0795824590537734	-1.59061978762608	0.111695168517161	StandingHeight_50	TRUE	0	sharp	tp4	50000	80000
-2.5966735229538	0.00941313466381302	-2.52067709649581	0.0117129281469885	Educational_Attainment_6138	TRUE	0	sharp	tp1	50000	80000
