PC	r2	rho	lc	up
1	0.159323952550106	-0.399154046140217	-0.40585934079412	-0.392405782832787
2	0.161332480913524	0.0448166030462563	0.0368282610091893	0.0527992178625268
3	0.495797847653033	0.578329803313464	0.572979737858376	0.583630581625767
4	0.531919353373551	-0.190056584084923	-0.197757393851311	-0.182332316678395
5	0.773812252456751	0.491826092410927	0.48573609515108	0.497868344774152
6	0.813656121180838	-0.199609299975712	-0.20727978484859	-0.191914273561099
7	0.920983131819831	-0.327608013291015	-0.334732104830381	-0.320446473805852
8	0.921406395740071	-0.0205733822678935	-0.0285702278015402	-0.0125739034365925
9	0.921406470677872	-0.000273761456464786	-0.00827529206302351	0.00772780420512653
10	0.922154647371469	0.0273528422865736	0.0193555298028349	0.0353466548711161
11	0.922492898236807	0.0183916115194467	0.0103915920267114	0.0263892767708844
12	0.924969056313661	0.0497610146487202	0.0417760997034196	0.0577395734945454
13	0.924988405017851	0.00439871500139583	-0.00360296054403725	0.0123998273041871
14	0.924988581383232	-0.000419952761950844	-0.0084214731972215	0.00758162144807852
15	0.925004922360743	0.00404239577623354	-0.00395928102211633	0.0120435549560236
16	0.925013600438415	0.0029458487483902	-0.00505581915781982	0.0109471394432248
17	0.925086234774431	0.00852257674175278	0.000521063541347177	0.0165229987091817
18	0.9251055098503	0.00439031622872443	-0.00361135936962332	0.0123914296598273
19	0.925108108264314	0.00161195787068015	-0.00638967327806006	0.00961338260945368
20	0.926031270167718	-0.0303835736394014	-0.0383757926175353	-0.0223874676493275
21	0.926039011558293	0.00278232985893811	-0.00521933507256237	0.0107836385170704
22	0.926045191184378	-0.0024858810801194	-0.0104872212135809	0.00551577736736434
23	0.926051842374075	0.00257898376886618	-0.00542267686647321	0.010580314168654
24	0.926058716273904	-0.00262180754474387	-0.0106231334208334	0.00537985405035181
25	0.926070955196615	-0.00349842637669782	-0.0114996532025859	0.00450324841568105
26	0.926070986404157	0.000176665059061743	-0.0078248947358785	0.00817820223211886
27	0.92613621471574	0.00807640162014904	7.4857724018351e-05	0.0160769114040248
28	0.926141430786754	0.00228386862401499	-0.00571778459927555	0.0102852294004487
29	0.926144168572739	-0.00165463268438605	-0.00965605357558218	0.00634700008122431
30	0.926166419313548	-0.00471706295672626	-0.0127181316597078	0.0032846097506726
31	0.926232868924217	0.00815167929008761	0.000150140349435537	0.0161521744811157
32	0.926232869734572	-2.84651294162901e-05	-0.00803001203417501	0.00797308542028984
33	0.926244028154288	-0.00334042573315685	-0.011341671320111	0.00466124758908432
34	0.926295725063976	0.00719006516323862	-0.000811530259157108	0.0151907399485167
35	0.926297258839681	0.00123845169481031	-0.00676316405869295	0.00923990886535689
36	0.926306431248436	-0.00302860195145575	-0.0110298833924245	0.00497306729711635
37	0.926523992136897	-0.0147499559640544	-0.0227488198253761	-0.00674920378818553
38	0.926539722498931	-0.00396616148749684	-0.011967330432782	0.0040355153150502
39	0.92654384712402	-0.0020309123929647	-0.0100322980973768	0.00597073336782181
40	0.926545355384178	-0.00122810976475795	-0.00922956780153982	0.006773505530707
