PC	r2	rho	lc	up
1	0.152449721569015	-0.390448103554128	-0.397208697035905	-0.383645134933661
2	0.154298022674904	-0.0429918706831418	-0.0509758836339548	-0.0350023628164338
3	0.492699528290339	0.581722881468752	0.576404312658392	0.58699216716231
4	0.530211279349389	-0.193679517171836	-0.201368997102253	-0.185966166919514
5	0.76609083455694	0.485674323105572	0.479536322901823	0.491764801646208
6	0.809054587285552	-0.207276978834387	-0.214922071393351	-0.199606484810734
7	0.918526987053757	0.330866129140185	0.323721614428923	0.337972914369174
8	0.918889857985147	-0.0190491608510106	-0.0270465870684952	-0.0110492962818497
9	0.918891745465451	-0.00137384600195661	-0.00937529167406811	0.0066277755902048
10	0.919528924147808	0.0252423993819714	0.0172443336292542	0.0332372349158537
11	0.919839220293477	-0.0176152356700144	-0.0256131742481637	-0.00961504216848015
12	0.922327973934969	0.0498874162174742	0.0419025940184378	0.0578658662519024
13	0.922343513698545	-0.00394205582684742	-0.0119432278406799	0.00405962095767234
14	0.922357880987106	-0.00379042592444358	-0.011791617026931	0.00421125053345892
15	0.922378117850326	0.00449853297179164	-0.00350314185832347	0.0124996317783762
16	0.922389654977919	-0.00339663631708446	-0.0113978752753447	0.00460503757395857
17	0.922441713405394	-0.00721516218799273	-0.0152158324740878	0.000786431948382982
18	0.922455486456304	-0.00371121176459014	-0.0117124126930361	0.00429046437636039
19	0.922455486474862	4.29922361307436e-06	-0.00799724978521127	0.00800584768192371
20	0.923553714508745	-0.0331395211961291	-0.0411301635474544	-0.0251446400035875
21	0.9236243490214	0.00840445158958495	0.000402929952356441	0.0164048971164608
22	0.923646654735332	-0.0047229181779918	-0.0127239860638764	0.00327875446201856
23	0.923650602241005	-0.00198683352555283	-0.00998822346903568	0.00601481083009304
24	0.923673511746758	-0.00478639209896555	-0.0127874510918505	0.0032152797753019
25	0.923714076883877	0.00636908110470157	-0.00163255082790634	0.0143698975123303
26	0.923877263322566	0.0127744537450351	0.00477339292565466	0.0207738790680972
27	0.92391445825394	0.00609876717187202	-0.00190287442132112	0.0140996278496315
28	0.923968011303055	-0.00731798710732691	-0.0153186388546136	0.000683601654840917
29	0.923985945686313	0.00423490598315046	-0.0037667703906179	0.0122360400887778
30	0.924001678399194	-0.00396646137107477	-0.0119676302781275	0.00403521543163797
31	0.924095560811617	0.00968929508689452	0.00168787721323078	0.0176894723670177
32	0.924153943005608	-0.00764081884309355	-0.0156414112861941	0.000360751946412979
33	0.92430011581222	-0.012090196657038	-0.020089801897336	-0.00408904349860815
34	0.924399405675559	-0.00996442903147415	-0.0179645454364515	-0.00196303681238087
35	0.924406928897544	-0.00274285172529803	-0.0107441646561683	0.00525881242389834
36	0.924408264297969	0.00115559784451544	-0.00684601419136628	0.00915706190679429
37	0.924416595212315	-0.00288633613120931	-0.0108876334132975	0.00511533074188399
38	0.924502994843308	0.0092951441536147	0.00129369163892512	0.0172954065319753
39	0.924577120623828	-0.00860963262701006	-0.0166100370887087	-0.000608125787320407
40	0.924758930210162	-0.0134836812751807	-0.0214829122103475	-0.00548272407439057
