PC	r2	rho	lc	up
1	0.474294300884807	-0.688690279359893	-0.70298949744229	-0.673834492002495
2	0.702884044529066	-0.478110581315074	-0.499213849375674	-0.456440442110601
3	0.716542394185263	-0.116868961582987	-0.144121369726759	-0.0894394098643112
4	0.760150049785203	-0.208824466751076	-0.23518241413176	-0.182159598575469
5	0.835577337862581	-0.274640292537214	-0.30007516284098	-0.248815188521367
6	0.835715989343548	-0.0117750431370946	-0.0394814494761317	0.0159494556204294
7	0.835746940480654	0.00556332412192043	-0.0221593860293477	0.033277485275046
8	0.836898727269606	0.0339379465153945	0.00622450921346797	0.0615992907734271
9	0.836948825215593	-0.00707798658264209	-0.0347904537286111	0.0206453568910543
10	0.836985315016513	-0.00604070842081775	-0.0337543493730152	0.0216822150606865
11	0.837141983880215	-0.0125167584001867	-0.0402220960360847	0.0152078109574785
12	0.837144636190617	-0.00162859529443176	-0.0293465634086353	0.0260918755054942
13	0.837161086642769	0.00405588391071959	-0.023666069697457	0.0317716048699131
14	0.837231460269528	0.00838892991006885	-0.019334859046435	0.0360998283501487
15	0.837243117974697	0.00341433911578357	-0.0243072543183759	0.0311306857333193
16	0.83734292039185	-0.00999012961476635	-0.03769898295878	0.0177340742142502
17	0.837566863775849	-0.0149647479333789	-0.0426663423337901	0.0127598379245464
18	0.83772392001145	0.0125322270956681	-0.015192343409636	0.040237542119354
19	0.837766471476799	-0.00652317257302609	-0.0342362749685399	0.0211999536755845
20	0.837767610627613	-0.00106732469943881	-0.0287857659796456	0.0266527567564054
21	0.837768669486977	-0.00102900719366105	-0.0287474801402538	0.026691047045547
22	0.838038660775049	0.0164314301558821	-0.0112930063639952	0.0441306230068875
23	0.838063577342019	0.00499164581241538	-0.0227307922522923	0.0327064133141381
24	0.838286150341383	0.0149189085511664	-0.012805680051285	0.0426205760911818
25	0.838324767287855	0.00621428156824882	-0.0215087163473309	0.0339277302514957
26	0.838359069687339	-0.00585684055492555	-0.0335706833601987	0.0218660022564979
27	0.838459244998541	0.0100087906856672	-0.0177154171405288	0.0377176193586447
28	0.838461138205971	-0.00137591460109897	-0.0290940978913305	0.0263443830784172
29	0.838573864526146	-0.0106172473388985	-0.038325261036434	0.0171070802401892
30	0.838579965125643	-0.00246996524381501	-0.0301871913780079	0.0252510565082773
31	0.838580919716058	-0.00097699467836119	-0.0286955104790594	0.026743022486604
32	0.838997541512261	-0.020411355195401	-0.0481034317559911	0.00731207481230481
33	0.839183269676997	-0.0136282321724492	-0.0413319113457129	0.0140963858692717
34	0.839355862832282	0.0131374443727713	-0.0145871606184782	0.0408418642932378
35	0.839421672096306	-0.00811226397980069	-0.0358235014054812	0.0196114388914439
36	0.839457316029069	0.00597022554238323	-0.0217526672369676	0.0336839440930532
37	0.839462964337041	-0.00237664096666108	-0.0300939513341283	0.0253443216080965
38	0.839579280284491	0.0107850230488437	-0.0169393339405475	0.0384928084211695
39	0.839579439674606	0.000399285482216965	-0.0273203098176299	0.0281182671928142
40	0.839686466974294	-0.010345418449791	-0.0380537987711175	0.0173788581662055
