error	rep	L	contrast
0.62394640947641	A3	1000	east
0.699342251701286	A3	1000	north
0.403068384955833	A3	3162	east
0.495161753769794	A3	3162	north
0.174349467599895	A3	10000	east
0.21874289434267	A3	10000	north
0.0812327620961291	A3	31623	east
0.10617309821695	A3	31623	north
0.0428637254057241	A3	1e+05	east
0.0532598589390466	A3	1e+05	north
0.0317974128016271	A3	316228	east
0.037950448686516	A3	316228	north
0.0274888561466331	A3	1e+06	east
0.0318438086074036	A3	1e+06	north
