q	p	q_NoSign	p_NoSign	phenotype	covar	pc
-1.02086184185202	0.117007783605925	-25.971322996645	0.245273838614391	Cholesterol_Normalized_30690	TRUE	0
-0.885716093198752	0.108333515856012	-17.7719823716113	0.446482730485907	AspartateAminotransferase_Normalized_30650	TRUE	0
-1.59247756378532	0.022761578773606	-71.8552611365342	0.02493415725782	HDL_Normalized_30760	TRUE	0
0.673942015687473	0.0157737979185203	13.3393666304868	0.237705371193346	BasophillPercentage_Normalized_30220	TRUE	0
1.56787825533238	0.00804924992735897	77.1555500290494	0.0295433668958238	BodyWeight_Normalized_21002	TRUE	0
-1.16233785369875	0.0918135631874672	-29.0407499109105	0.284654732621149	Triglycerides_Normalized_30870	TRUE	0
0.67088264877791	0.0826772220223587	34.0233059192808	0.0521562773014772	BirthWeight_Normalized_20022	TRUE	0
-0.522920504634576	0.418112516641446	-18.5614619418954	0.48859369120223	EosinophillPercentage_Normalized_30210	TRUE	0
0.884395649935938	0.156569200042807	34.2551909315093	0.327794466693155	BMI_Normalized_21001	TRUE	0
1.21506504998856	0.092128055408861	34.2901086548606	0.368520978372384	StandingHeight_Normalized_50	TRUE	0
-0.143792987589062	0.715195138119362	-17.9586612078227	0.461218592004148	SystolicBloodPressure_Normalized_4080	TRUE	0
1.14527996494002	0.118554725124245	59.5970442973689	0.0306091140571509	PlateletCount_Normalized_30080	TRUE	0
-0.0556178195563982	0.912311894589264	3.85817817122609	0.860077961147988	AlkalinePhosphatase_Normalized_30610	TRUE	0
-0.838148897274509	0.184110807993775	-27.6210013935672	0.152350465599097	LDL_Normalized_30780	TRUE	0
-2.97784592179402	0.00177272269654526	-63.7273201697817	0.0309462070564039	TotalProtein_Normalized_30860	TRUE	0
0.832361910950716	0.269855690888133	-0.401899800494525	0.988469165493115	MeanCorpuscularVolume_Normalized_30040	TRUE	0
-0.393763471881406	0.472622184460408	-12.7731601749852	0.583843269678799	HbA1c_Normalized_30750	TRUE	0
0.0851894565112446	0.84073610827409	3.56990718876138	0.902533403360357	WaistCircumference_Normalized_48	TRUE	0
0.0576491359553684	0.811191958314521	3.54850562044585	0.776033327469552	AgeOfMenarche_Normalized_2714	TRUE	0
1.02998229815183	0.0942813456057737	46.0510151820863	0.160317225194828	HipCircumference_Normalized_49	TRUE	0
0.850264334087423	0.0200368285139396	49.6963255016028	0.00846787054333392	Glucose_Normalized_30740	TRUE	0
0.345174377714068	0.450144783673413	2.58263671220055	0.872601340516535	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	0
-0.933567202934464	0.137976249992511	-25.9350743245415	0.231913952326086	Cholesterol_Normalized_30690	TRUE	10
-1.02033203947834	0.0620097206354801	-23.1022905915225	0.284374153587064	AspartateAminotransferase_Normalized_30650	TRUE	10
-1.60064919111275	0.0190340350321338	-75.7919305266578	0.0181143150338529	HDL_Normalized_30760	TRUE	10
0.638536710526114	0.0241376382438226	9.42363273815497	0.408507057790004	BasophillPercentage_Normalized_30220	TRUE	10
1.5567186710982	0.00879458328825748	74.1153279029746	0.0351321452457122	BodyWeight_Normalized_21002	TRUE	10
-1.34461324857362	0.0511033079161317	-37.2206247644724	0.165627247537643	Triglycerides_Normalized_30870	TRUE	10
0.636834227277651	0.0950562463817264	31.895311964003	0.065303167870274	BirthWeight_Normalized_20022	TRUE	10
-0.647876830230288	0.320097509699653	-21.5574313931017	0.424621903664976	EosinophillPercentage_Normalized_30210	TRUE	10
-0.299491956212894	0.608928004203588	-29.6878374856056	0.384700337859527	BMI_Normalized_21001	TRUE	10
2.83494497467509	4.48280236953376e-05	135.082915195179	0.000129082357721969	StandingHeight_Normalized_50	TRUE	10
-0.507712080918061	0.196525140859759	-43.0967032756481	0.0755046102938028	SystolicBloodPressure_Normalized_4080	TRUE	10
0.420252621539437	0.569894830377647	17.0973071760139	0.531056188064204	PlateletCount_Normalized_30080	TRUE	10
-0.375871262438558	0.450389302588197	-19.4917551094319	0.35185855780623	AlkalinePhosphatase_Normalized_30610	TRUE	10
-0.709622344382624	0.258010829714337	-20.0026471925935	0.290429995189512	LDL_Normalized_30780	TRUE	10
-2.9728991988073	0.00173243213522302	-60.2693866609463	0.0426258761213663	TotalProtein_Normalized_30860	TRUE	10
0.0172898855950055	0.98109607558418	-44.1069994859432	0.080218906603265	MeanCorpuscularVolume_Normalized_30040	TRUE	10
-0.456337633578466	0.407651879624733	-15.2936069024403	0.515899466509121	HbA1c_Normalized_30750	TRUE	10
0.100047147230097	0.810293515645876	4.08870868267768	0.886443067266607	WaistCircumference_Normalized_48	TRUE	10
-0.0163763908385807	0.944514020312527	-5.78282049831686	0.634531015638689	AgeOfMenarche_Normalized_2714	TRUE	10
1.7148812599869	0.00653764323512528	89.3944973139711	0.00941375001661604	HipCircumference_Normalized_49	TRUE	10
0.843201575894498	0.0207451978639699	49.1406265807378	0.00884644444849583	Glucose_Normalized_30740	TRUE	10
0.0535783068754216	0.905192494942808	-14.599796015581	0.348986578467142	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	10
-0.996462531639868	0.114002946661613	-29.907187534469	0.170653582303661	Cholesterol_Normalized_30690	TRUE	40
-0.945041791094994	0.0855883519132539	-20.3919197010612	0.349635191817783	AspartateAminotransferase_Normalized_30650	TRUE	40
-1.5302624184066	0.0247154030548583	-68.1229130414031	0.0323538854093577	HDL_Normalized_30760	TRUE	40
0.645167890424924	0.0218256837347925	10.3361138300246	0.357634774783759	BasophillPercentage_Normalized_30220	TRUE	40
