PC	r2	rho	lc	up
1	0.642703747667783	-0.801688061322971	-0.802962949642947	-0.800405837278542
2	0.780089409845711	-0.370655727124997	-0.373738409686277	-0.36756485626445
3	0.790832970708524	-0.103651154859467	-0.107189788606375	-0.100109895149279
4	0.803868423330921	-0.114172911844485	-0.117703214477042	-0.110639723385139
5	0.807846046003149	-0.063068394995167	-0.066631748223375	-0.0595034330247548
6	0.807992504725229	0.0121020173981377	0.00852399563038414	0.0156797292814858
7	0.808058410416244	0.00811823817760054	0.00453997915926901	0.0116962893034788
8	0.808066522885666	0.00284823811317317	-0.000730160234468581	0.00642656351870375
9	0.808067057470125	-0.000731154411474087	-0.00430953404196635	0.00284724394369932
10	0.808195688410162	0.0113415612661916	0.00776348543790568	0.014919346677143
11	0.808371327188221	0.0132528753907612	0.00967494330920176	0.016830468128935
12	0.808371544944454	-0.000466644216583623	-0.00404502836782076	0.00311175188529868
13	0.808392084265787	0.00453203298358865	0.000953657543651995	0.00811029236161878
14	0.808412869235015	0.00455905300446833	0.000980678097554412	0.00813731115754228
15	0.808428597505955	0.00396588926064192	0.000387503854134877	0.00754417310326254
16	0.808433507890467	-0.00221594005565186	-0.00579428501563911	0.00136246165375626
17	0.808439065806298	0.00235752313897806	-0.00122087806628824	0.00593586396897118
18	0.808439101164349	-0.000188035953063028	-0.0037664243245324	0.00339035723396236
19	0.808451712536539	0.00355124811200964	-2.71431386874756e-05	0.00712954841723138
20	0.808454615926067	0.00170393451748091	-0.00187446781756257	0.00528229321529201
21	0.808454906291886	0.000538856321708357	-0.00303954044501953	0.00411723928845758
22	0.80846009853349	-0.00227864967274028	-0.0058569928211796	0.00129975183107401
23	0.808460352555768	0.000504010890226113	-0.00307438556034456	0.00408239443320064
24	0.808471947610548	-0.00340514634176598	-0.00698345215455643	0.000173246675003967
25	0.808472612205246	-0.000815230494767793	-0.0043936085834428	0.00276316847175305
26	0.808480842506196	0.00286885004900951	-0.000709548140886069	0.00644717476894008
27	0.808482495226816	0.00128558137790471	-0.00229282007555342	0.0048639499079829
28	0.808482564002928	0.000262251676610362	-0.00331614234115578	0.00384063897817369
29	0.808514292265402	0.00563278461545703	0.00205443511950961	0.00921098986170258
30	0.808525918169658	-0.00340967406441066	-0.00698797970881414	0.000168718899922172
31	0.808535771147968	0.00313895079967629	-0.000439445042111911	0.00671726625447065
32	0.808543777088964	0.00282947870521251	-0.000748919783354753	0.00640780473208099
33	0.808545956627355	-0.00147632511643015	-0.00505468931894061	0.00210207689433417
34	0.808558732128732	0.00357428147589444	-4.10948243534844e-06	0.00715258089889234
35	0.808563800517127	0.00225131077466274	-0.00132709082224261	0.00582965471632505
36	0.808568309404657	-0.00212341137662887	-0.00570175895817543	0.00145499058473449
37	0.808570485426953	-0.00147514211582427	-0.00505350634597692	0.00210325989228608
38	0.808579701731783	-0.0030358406738889	-0.00661415972723181	0.000542556125897487
39	0.808581745509681	-0.00142961132225135	-0.00500797660867337	0.00214879057610291
40	0.808592871865754	-0.00333561408427114	-0.00691392246455495	0.000242779719348206
