PC	r2	rho	lc	up	test	gwas	contrast	chrtype_gwas	chrtype_test
17	0.00757346008445016	0.00376292984546885	0.000697542454781736	0.00682824651929397	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
18	0.00761347509102826	0.0063257417754729	0.00326040956100133	0.00939095511314889	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
19	0.00776315985923597	-0.0122345725301855	-0.0152993941814703	-0.00916952098534506	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
20	0.00787828682781568	0.0107297233224254	0.00766457998018963	0.0137946650409842	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
21	0.0086914097635361	0.0285153100868569	0.0254521394394706	0.0315779452732585	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
22	0.0089900693861277	0.0172817717171685	0.0142171294394524	0.0203460893103907	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
23	0.00899205370591686	-0.0014086590544856	-0.00447403517191481	0.00165674353624099	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
24	0.00900548883727542	0.00366539647933283	0.000600007784206839	0.00673071629049462	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
25	0.00901561284842809	-0.00318182533441433	-0.00624715983915785	-0.000116431033283329	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
26	0.00902055615961917	-0.00222335547844377	-0.00528871487014659	0.00084204569723538	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
27	0.00913743525409367	0.010811063473001	0.00774592473762973	0.0138759990565775	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
28	0.00926529911557569	-0.0113076902152304	-0.0143725874615613	-0.00824258048727533	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
29	0.00929873007579746	0.00578195152800907	0.00271660424026799	0.00884719015744258	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
30	0.0093060236815116	0.00270066734965926	-0.000364731106555797	0.00576601505179719	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
31	0.0093794853789414	0.00857097971434891	0.00550572893205201	0.0116360694314996	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
32	0.00947104082472868	0.00956846117936624	0.00650325649039754	0.0126334860618527	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
33	0.00951639503564067	0.00673455300589634	0.0036692333170514	0.00979974613601745	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
34	0.00954862236165991	-0.00567691185973541	-0.00874215516567584	-0.00261156186933484	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
35	0.00957047560228655	-0.00467474474851	-0.00774002927109274	-0.00160937237397428	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
36	0.00965930222458031	-0.00942478733123265	-0.0124898219282805	-0.00635957562707747	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
37	0.00966159245972321	0.00151335280367184	-0.00155204983307303	0.00457872699959107	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
38	0.00973815096409962	0.00874977167938886	0.00568452871028629	0.0118148502240106	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
39	0.0106662601174929	-0.0304648837955894	-0.0335271482353684	-0.02740204735153	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
40	0.0107299069589912	0.00797789709875946	0.00491262180218943	0.0110430224738715	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
1	0.0090844936052748	0.0953126098964602	0.0922741742826719	0.0983492705442741	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
2	0.0101731397077575	0.0329946376262663	0.0299322695875045	0.036056386261998	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
3	0.0102419415840036	0.00829468976423635	0.00522942729354391	0.0113597963610742	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
4	0.0104026682088924	-0.0126778001608851	-0.0157425838019297	-0.00961277830045352	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
5	0.0110090471528739	0.0246247629372518	0.0215609950243645	0.0276880683502398	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
6	0.0118264184915	0.0285897071613556	0.0255265488396413	0.0316523286273382	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
7	0.0118523717584807	0.00509443488844176	0.00202907113859764	0.00815970289953578	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
8	0.0118525279427293	0.000395201691228472	-0.00267019698032746	0.00346059293564226	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
9	0.0118579885972532	0.00233680454289631	-0.000728596112952451	0.00540216128271987	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
10	0.011951779465672	0.00968456844745286	0.0066193695201399	0.0127495853868517	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
11	0.011967313284151	-0.00394129732240707	-0.00700660810787377	-0.000875912468114415	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
12	0.0120675539999931	0.0100120281171693	0.00694684588485549	0.0130770222093124	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
13	0.0127005950117468	0.0251603059335507	0.0220966147266525	0.02822352459464	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
14	0.0127880940228649	0.00935409097971752	0.00628887587012029	0.0124191303104737	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
15	0.0128175668081459	0.00542888436719026	0.00236352826351783	0.00849413844722596	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
16	0.0136380650116899	-0.0286443394518013	-0.0317069508208132	-0.0255811902028593	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
17	0.0136619950174136	0.00489183041939674	0.00182646237117357	0.00795710653619124	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
18	0.0145166236976574	0.0292340331997087	0.0261709830460855	0.0322965344189555	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
19	0.0145808393093878	0.00801346467166227	0.00494819078444096	0.0110785879691218	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
20	0.0146380291404181	-0.00756239624162097	-0.0106275453134298	-0.00449710505557109	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
21	0.0155711745873048	0.030547428997082	0.0274846072175654	0.0336096772253528	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
22	0.0162109520134334	0.0252938224520209	0.0222301506426287	0.028357019211179	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
23	0.0162271804116923	0.00402844827944469	0.000963064735378709	0.0070937561169088	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
24	0.0162274352704778	-0.000504835248414007	-0.00357022516016759	0.00256056415085661	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
25	0.0162334576104636	-0.00245404588015158	-0.00551939979654576	0.000611354155581296	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
26	0.0162347678455118	-0.00114465461850415	-0.00421003528299941	0.0019207475577987	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
27	0.0165185364849365	0.0168454338164966	0.0137807499889591	0.0199098011526053	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
28	0.0165284316457448	-0.00314565713704774	-0.00621099268316121	-8.02624742461063e-05	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
29	0.0166322550667682	0.0101893782495777	0.00712420533363378	0.0132543596933771	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
30	0.0166403374270112	0.00284294882267903	-0.000222448552654477	0.0059082927700589	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
31	0.0166897019083164	0.00702598599137596	0.00396067585738952	0.0100911640904294	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
32	0.0166897450878378	-0.000207796825517747	-0.00327319017731014	0.00285760043146221	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
33	0.0167088855261409	0.00437497777482206	0.00130959990116743	0.00744027342978773	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
34	0.0167113734477833	-0.00157731479146508	-0.00464268778038251	0.0014880878403261	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
35	0.016711378034466	6.7725701779664e-05	-0.0029976703573021	0.00313312048807211	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
36	0.0167147249340333	-0.00182945303198182	-0.00489482101858758	0.00123594933596556	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
37	0.0167394704929661	0.00497449124236813	0.00190912491745201	0.00803976408249947	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
38	0.0169024051116121	0.0127645844338619	0.0096995685266708	0.0158293604914949	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
39	0.0178221618701999	-0.0303274918561993	-0.0333897831865385	-0.0272646310964706	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
40	0.0179065574665972	0.00918670771732364	0.00612148466704447	0.0122517581336343	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-all
1	0.00524833988007795	-0.0724454269093498	-0.0754940570878425	-0.0693954423878216	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
2	0.0058082647104086	0.0236627309405067	0.020598829652793	0.0267261877764543	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
3	0.00583774001506965	-0.00542911648002235	-0.00849437055015157	-0.00236376038189462	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
4	0.00583864432917999	-0.000950954123646031	-0.00401633785256588	0.00211444747682223	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
5	0.00619286862100438	0.0188208476247901	0.0157563612251549	0.0218849804439104	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
6	0.0063638927070218	0.0130776176812313	0.0100126236312367	0.0161423660016874	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
7	0.0063711525758947	-0.00269441415435271	-0.00575976201866319	0.000370984346519278	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
8	0.0063720627545364	0.000954032989722203	-0.00211136862169802	0.00401941667173212	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
9	0.00649824365126234	0.0112330273308281	0.00816791314531257	0.0142979304373467	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
10	0.00660711381642492	-0.0104340867950396	-0.0134990504700295	-0.00736892705049158	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
11	0.00695427528615428	0.0186322694153947	0.015567763135699	0.0216964256548536	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
12	0.00705404004812942	0.00998823127778506	0.00692304781007508	0.0130532270524113	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
13	0.00730458801527656	-0.0158287067195101	-0.0188931854353714	-0.0127639306045713	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
14	0.00732337078945685	-0.0043339099411573	-0.00739920707834522	-0.00126853135703658	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
15	0.00739845787243045	-0.00866528058471985	-0.0117303644335262	-0.0056000338989378	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
16	0.00760953653746552	-0.0145285464343896	-0.017593158346812	-0.0114636615402916	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
17	0.00767345744377197	0.00799505499436093	0.00492978037669629	0.0110601793681758	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
18	0.00884402261161872	-0.034213523656431	-0.0372750097654759	-0.0311513953150765	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
19	0.00949922119866385	-0.0255968471843886	-0.0286599938302377	-0.0225332198045328	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
20	0.00988115510854167	0.0195431301723454	0.0164787219333478	0.0226071712717419	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
21	0.00993245084750511	-0.00716210397164198	-0.0102272748718336	-0.00409679847879778	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
22	0.0103819081333063	0.0212004077386677	0.0181361909300432	0.0242642263007777	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
23	0.0104164453018295	-0.00587683360656363	-0.00894206795357591	-0.00281148881827835	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
24	0.0104164535740415	9.09515097010738e-05	-0.00297444475632833	0.00315634606645163	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
25	0.0104218469261105	-0.00232235884124901	-0.0053877159231257	0.000743041885174914	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
26	0.0104687792675489	0.0068507180772773	0.00378540213458029	0.00991590527842781	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
27	0.0104732746174999	0.00212022377243449	-0.000945177807329816	0.00518558550637996	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
28	0.0105986333680755	-0.0111963722462506	-0.0142612782172701	-0.00813125588484425	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
29	0.0106719802865472	0.00856428171780427	0.00549903064661422	0.0116293718496979	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
30	0.0107284508796222	-0.00751469152066758	-0.0105798432454241	-0.00444939857804617	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
31	0.0108158118636073	0.00934670956928881	0.00628149410589596	0.0124117493925253	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
32	0.0108182778903662	-0.00157035877169074	-0.00463573189308803	0.0014950438618547	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
33	0.0108837517684868	0.00809159289818886	0.00502632213399377	0.0111567116046207	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
34	0.0108958136307661	-0.00347301919884315	-0.00653834502721061	-0.000407628101776918	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
35	0.0109331950418501	-0.00611403395678949	-0.00917925735652146	-0.00304869565848834	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
36	0.0111454138644196	0.0145677321081493	0.011502850341071	0.0176323401575913	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
37	0.0111847052070401	-0.00626828075311586	-0.00933349684896849	-0.00320294686022133	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
38	0.0111847210386354	-0.000125823859023638	-0.00319121806491844	0.00293957271151645	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
39	0.0112494981694097	-0.00804842391271931	-0.0111135451605043	-0.00498315141830025	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
40	0.0112495540630113	-0.000236417693844848	-0.00330181073772454	0.00282897979310286	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-even
1	0.00391834216233629	-0.0625966625495025	-0.065649460936354	-0.0595426923743808	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
2	0.00445818422240306	0.0232345015979645	0.0201705427664771	0.0262980240122523	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
3	0.0044993417620761	-0.00641541430599506	-0.00948062329887376	-0.00335008475128335	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
4	0.00482072745559639	-0.0179272331087167	-0.0209914749787186	-0.0148626544351518	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
5	0.00507856711881754	0.0160573868244547	0.0129926309141084	0.0191218410413473	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
6	0.00588111095849609	0.0283292046475764	0.0252660033159805	0.0313918740072465	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
7	0.00590140725041134	-0.0045051403270425	-0.00757043121585757	-0.00143976477349948	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
8	0.00590463142589035	-0.00179559879937134	-0.00486096748028238	0.00126980362665487	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
9	0.00598362813697337	-0.00888800910719009	-0.0119530788791649	-0.00582277231340335	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
10	0.00599193310214243	-0.00288183363700969	-0.00594717653663919	0.000183563421329411	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
11	0.00621459134527913	-0.0149217374485189	-0.017986310172987	-0.011856884357826	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
12	0.006223696970851	0.00301755299436182	-4.78428849317719e-05	0.00608289216439803	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
13	0.00658858664664905	-0.0191020852212724	-0.0221661827073302	-0.0160376288750186	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
14	0.00671644794323225	-0.0113075773507907	-0.014372474606006	-0.00824246761607161	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
15	0.00673276216527064	0.00403908656279813	0.000973703181857049	0.00710439403721866	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
16	0.00761479295694081	-0.029699002869007	-0.0327614157330724	-0.0266360323550134	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
17	0.00762594199704869	0.00333901748592899	0.000273624849843993	0.00640434737156173	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
18	0.00774370683559938	-0.0108519515146787	-0.013916883999006	-0.00778681511040593	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
19	0.00794361543294099	0.0141389034336415	0.0110739879582615	0.0172035532455092	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
20	0.00798675618685505	-0.00656816190625098	-0.00963336338472944	-0.00350283699567123	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
21	0.0084031702899726	-0.0204062270637823	-0.0234701543683179	-0.0173419164186264	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
22	0.00904465226951814	0.0253274947504622	0.0222638278502995	0.0283906859687935	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
23	0.0090681256279601	0.00484493114364688	0.00177956213629773	0.00791020910089676	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
24	0.00912052459498603	-0.00723871297639496	-0.0103038797750193	-0.00417341014560613	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
25	0.00912122171405196	0.000834936860743973	-0.00223046428467952	0.00390032231496087	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
26	0.00924145047838339	-0.0109648877787546	-0.0140298116494437	-0.00789975786643288	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
27	0.00962928365862965	-0.0196934806901396	-0.0227575022950282	-0.0166290891233305	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
28	0.00976068887065378	-0.0114632112559169	-0.0145280961858901	-0.00839811092270285	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
29	0.00978297457719786	-0.00472077432629419	-0.00778605709069722	-0.00165540284494787	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
30	0.00979213244668598	-0.00302619703410248	-0.00609153596277375	3.91987662717412e-05	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
31	0.00986308944695261	-0.00842359797072287	-0.0114886967502628	-0.00535834089522586	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
32	0.0100839402540856	0.0148610499063614	0.0117961918450696	0.0179256287411887	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
33	0.0100841450969967	0.000452595681309366	-0.0026128033804014	0.0035179862372562	le	WBS	EUROPEAN_NEOLITHIC	chr-odd	test-odd
