PC	r2	rho	lc	up
1	1.82516498826517e-05	0.00427219497245131	0.000693814673432368	0.00785046586356662
2	2.70994893726167e-05	-0.00297453183322416	-0.00655285299017893	0.000603865500111757
3	2.90250236623699e-05	-0.00138763607771499	-0.00496600232477777	0.00219076570631038
4	2.97679768205668e-05	-0.000861947285829123	-0.00444032449593062	0.00271645199852164
5	3.55425715296539e-05	-0.00240303864490639	-0.00598137811673517	0.00117536236781707
6	3.70557784124172e-05	0.0012301247886485	-0.00234827645392175	0.00480849452806219
7	3.75534618558907e-05	-0.000705466779594145	-0.00428384687106607	0.00287293137870578
8	3.76478925489272e-05	-0.000307295754254377	-0.00388568238723226	0.00327109874849419
9	3.91509789847458e-05	0.00122600426795963	-0.00235239695806284	0.00480437409635061
10	4.50049680051451e-05	-0.00241950175134374	-0.00599784072826896	0.00115889918808506
11	5.36712153622366e-05	0.00294384908671858	-0.000634548503538215	0.00652217128635145
12	5.36784605615716e-05	8.51187057965531e-05	-0.00349327326398136	0.00366350849570461
13	5.49270963012108e-05	0.00111742368116853	-0.00246097706501083	0.00469579581042802
14	5.56784807071546e-05	0.00086682444970683	-0.00271157486692447	0.00444520156718613
15	6.03870988540963e-05	-0.00216993507395465	-0.00574828134503196	0.00140846676838385
16	6.49576157892754e-05	-0.00213787667342341	-0.00571622384917404	0.0014405252525918
17	6.6266243271905e-05	0.0011439525686529	-0.00243444830255306	0.00472232414354309
18	6.71838816868288e-05	-0.000957934394429257	-0.00453630975034641	0.00262046549393814
19	6.71840032517326e-05	-1.10257038294186e-05	-0.00358941646798037	0.00356736534268719
20	6.97239701785023e-05	0.00159372738511206	-0.00198467483921681	0.00517208879456407
21	7.31076494973745e-05	-0.00183947803805552	-0.00541783328163301	0.00173892431395909
22	7.39893330928739e-05	0.000938980078139336	-0.00263941969617933	0.00451735580542199
23	8.05767069788382e-05	0.00256658799048161	-0.00101181220802864	0.00614492245971481
24	8.16767791718691e-05	-0.00104884329152854	-0.00462721683055994	0.00252955710810138
25	9.25159872514474e-05	-0.00329229525957073	-0.00687060522191893	0.000286099016764744
26	9.45968511842914e-05	0.00144251997129252	-0.0021358819596861	0.00502088495975349
27	9.87816676915546e-05	0.00204568240164195	-0.00153271972402039	0.00562403213808216
28	9.88688873639458e-05	-0.000295329802931896	-0.00387371661493573	0.00328306457239753
29	0.000109347105424918	0.003237007527493	-0.000341387332660273	0.00681531948951945
30	0.000111445941664638	0.00144873618453613	-0.00212966576172746	0.00502710102908733
31	0.000114121669887423	-0.0016357653098079	-0.00521412569517315	0.00194263696700709
32	0.000120208441537041	0.00246713835357999	-0.00111126236284127	0.00604547588755743
33	0.000121064916543167	-0.000925459337534055	-0.00450383532815281	0.00265294035385866
34	0.000121187800924561	-0.000350548726037933	-0.00392893470334956	0.00322784622874237
35	0.000121873837729894	0.000828273412059468	-0.00275012564476834	0.00440665125701609
36	0.000123435619386954	0.0012497126317098	-0.00232868868786239	0.00482808194648772
37	0.000126307145985818	-0.00169455799523502	-0.00527291692713802	0.00188384433377194
38	0.000129114698936919	-0.00167557547067135	-0.00525393487456102	0.00190282684418847
39	0.000129341702955567	0.000476449404841624	-0.00310194678950516	0.00405483339743486
40	0.000129360534489195	-0.000137228007000649	-0.00371561708819541	0.00344116458857077
