PC	r2	rho	lc	up
1	0.269209455826497	-0.518853983146026	-0.523899881973026	-0.513771669155667
2	0.270350395634215	-0.0337777981004851	-0.0406978103215816	-0.0268545456620131
3	0.295205154184246	0.157653919676267	0.150889223316977	0.164403851725021
4	0.589631155530783	0.542610358756775	0.537702603474256	0.547481345585885
5	0.823038440111978	0.48312243784198	0.477792460643865	0.488416846557773
6	0.832276641085945	-0.096115566271765	-0.102976518289158	-0.089245468874527
7	0.836099234465701	-0.0618271242694752	-0.0687272173683566	-0.0549211161755061
8	0.928319298872966	-0.303677578719769	-0.309954864772824	-0.297373817798859
9	0.945776462977175	-0.132125572114938	-0.138927912134221	-0.125310764654959
10	0.946053933261527	-0.0166574507868274	-0.0235842666270622	-0.0097290356588896
11	0.946058230980446	0.00207309558416308	-0.00485651231787664	0.0090025043931829
12	0.946079722800792	-0.00463592865524033	-0.0115650952637055	0.00229368316432554
13	0.946083218620794	-0.00186971086149169	-0.00879913499320211	0.00505989283100845
14	0.946083281918233	-0.000251589795842469	-0.00718111541162917	0.0066779599818713
15	0.946087087169113	0.00195071089734363	-0.00497889454034164	0.00888012899532411
16	0.946087109260061	-0.000148629644947318	-0.00707816049025466	0.00678091547430455
17	0.946087976471386	-0.00093124309359077	-0.00786073050298346	0.00599833374951505
18	0.946104670194676	-0.00408578974679819	-0.0110150160180117	0.00284382890484515
19	0.946120239699273	0.00394581591655511	-0.00298380380399416	0.0108750566986906
20	0.946120735813649	-0.000704353828865661	-0.00763385470454208	0.00622521469080413
21	0.946120911739039	0.000419431012319833	-0.00651012604447301	0.00734894778822466
22	0.946228950124853	-0.010394155235092	-0.0173224456919291	-0.00346486666263551
23	0.946235535032494	0.00256609471633579	-0.0043635210104966	0.00949546400475892
24	0.94623766605192	0.00145980029632264	-0.00546979317004399	0.00838925356815055
25	0.946247773204481	0.00317918106035053	-0.00375043969814871	0.0101084965029319
26	0.946249191510805	-0.00119090975387884	-0.00812038087615579	0.005738675739633
27	0.946356197102039	-0.0103443567138586	-0.0172726567172924	-0.00341506337576337
28	0.946356603795171	0.000637732864781893	-0.00629183307540148	0.00756723755904061
29	0.946491040706577	-0.011594695929254	-0.0185227458381497	-0.00466553265026482
30	0.94649295209813	-0.00138253484933122	-0.00831199335305997	0.00554705642863969
31	0.946797263810928	0.0174445371727189	0.0105162702713089	0.0243711292629509
32	0.946914765963863	-0.0108398301555447	-0.0177680336447564	-0.00391058576390755
33	0.947051371966457	-0.0116878605098434	-0.0186158909167284	-0.00475870778925583
34	0.947053345336834	-0.00140477118516756	-0.00833422819167858	0.00552482073108409
35	0.947059961430107	-0.00257217521536324	-0.00950154399532485	0.00435744058694894
36	0.947060473664636	0.000715712007838002	-0.00621385694547	0.00764521222634888
37	0.947098877241449	-0.00619704841528365	-0.0131260228839908	0.000732521176492358
38	0.947192304645	0.00966579492853799	0.00273644007856026	0.0165942215913142
39	0.947195591438458	-0.00181295482284421	-0.00874238312816426	0.00511664759264146
40	0.947214173567918	-0.00431069923835157	-0.0112399016248617	0.00261891712707834
