q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast
106.781542635236	1.39558738335615e-25	129.036136188831	0.00301661852536219	Cholesterol_Normalized_30690	FALSE	0	Lat.all-PC0.results
-91.8830009734311	5.08445730142999e-154	-113.148562427072	0.0162599436450052	AspartateAminotransferase_Normalized_30650	FALSE	0	Lat.all-PC0.results
32.3019854491939	5.2459689249028e-19	34.9507122059709	0.550542560743339	HDL_Normalized_30760	FALSE	0	Lat.all-PC0.results
-88.3320189570417	4.82287563658025e-146	-112.534344028793	0.0124324068679914	BasophillPercentage_Normalized_30220	FALSE	0	Lat.all-PC0.results
-43.4275693687839	0.000567428620892216	-46.7978311027698	0.53562128759039	BodyWeight_Normalized_21002	FALSE	0	Lat.all-PC0.results
104.449626669273	3.69982546806351e-18	138.607576898463	0.000586006844914805	Triglycerides_Normalized_30870	FALSE	0	Lat.all-PC0.results
30.9510175583099	1.26380300569104e-12	34.5066894178012	0.557569897393061	BirthWeight_Normalized_20022	FALSE	0	Lat.all-PC0.results
-53.044475172301	1.35085119431348e-33	-58.7905589591171	0.351306021506612	EosinophillPercentage_Normalized_30210	FALSE	0	Lat.all-PC0.results
-106.140110638986	4.22169856080683e-17	-139.401464673928	0.000489704132166665	BMI_Normalized_21001	FALSE	0	Lat.all-PC0.results
39.891544845602	4.39547379445609e-05	41.9185737875284	0.49584079142081	StandingHeight_Normalized_50	FALSE	0	Lat.all-PC0.results
-103.493684075877	1.19284730153756e-82	-139.786811160229	0.000442869381274164	SystolicBloodPressure_Normalized_4080	FALSE	0	Lat.all-PC0.results
102.245593773475	1.9991420700295e-28	130.57709614569	0.00218134431012449	PlateletCount_Normalized_30080	FALSE	0	Lat.all-PC0.results
-70.8424398864513	1.04726978633455e-65	-84.2446376991531	0.139725971550229	AlkalinePhosphatase_Normalized_30610	FALSE	0	Lat.all-PC0.results
106.898962646668	1.9670185704457e-33	129.799209905845	0.00275398429722285	LDL_Normalized_30780	FALSE	0	Lat.all-PC0.results
-93.6513060279223	6.59684112030648e-07	-109.403234403924	0.0148243077866149	TotalProtein_Normalized_30860	FALSE	0	Lat.all-PC0.results
87.4171709062139	1.24707555132914e-06	102.842540564508	0.0278349863543859	MeanCorpuscularVolume_Normalized_30040	FALSE	0	Lat.all-PC0.results
-94.5076346730234	2.25221196152881e-08	-106.462993372704	0.0246321510019719	HbA1c_Normalized_30750	FALSE	0	Lat.all-PC0.results
-104.477277920957	6.47666382375351e-41	-135.243151405481	0.000954143622206653	WaistCircumference_Normalized_48	FALSE	0	Lat.all-PC0.results
89.9547697170528	2.87078436993556e-94	105.923487954428	0.0292189728693879	AgeOfMenarche_Normalized_2714	FALSE	0	Lat.all-PC0.results
-64.5720755909145	6.2014249156343e-08	-71.9754271613501	0.258743173619591	HipCircumference_Normalized_49	FALSE	0	Lat.all-PC0.results
-53.4781362762601	7.65376264606122e-34	-57.8863267543571	0.353582693738275	Glucose_Normalized_30740	FALSE	0	Lat.all-PC0.results
103.160722663	7.63147690456441e-10	124.943536042399	0.00234684163943088	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	FALSE	0	Lat.all-PC0.results
1.92362556111945	0.00476338849407539	1.1955206024888	0.971281922709157	Cholesterol_Normalized_30690	FALSE	10	Lat.all-PC10.results
0.618026911560489	0.172058355337575	0.557977599179876	0.983523953853876	AspartateAminotransferase_Normalized_30650	FALSE	10	Lat.all-PC10.results
1.53679438710899	0.0615245138195395	1.57198402527158	0.970923217787319	HDL_Normalized_30760	FALSE	10	Lat.all-PC10.results
1.62119387592301	7.72606629483044e-06	2.14644784710962	0.918525020464864	BasophillPercentage_Normalized_30220	FALSE	10	Lat.all-PC10.results
-0.659134331000952	0.417483425366247	-1.16384125197115	0.983620344551227	BodyWeight_Normalized_21002	FALSE	10	Lat.all-PC10.results
-0.308838811599987	0.694411451498054	-0.134870020344097	0.997141123569023	Triglycerides_Normalized_30870	FALSE	10	Lat.all-PC10.results
-0.929499220153461	0.107249318490838	-0.771824666302901	0.980606940411517	BirthWeight_Normalized_20022	FALSE	10	Lat.all-PC10.results
-0.212997220843775	0.793261893847588	-1.13704335185579	0.977706881036301	EosinophillPercentage_Normalized_30210	FALSE	10	Lat.all-PC10.results
-1.54961940824963	0.0698028962170482	-1.71320267023423	0.975356914557575	BMI_Normalized_21001	FALSE	10	Lat.all-PC10.results
0.481652435606173	0.617646504022235	1.29977486961345	0.982067087738647	StandingHeight_Normalized_50	FALSE	10	Lat.all-PC10.results
-0.603615580635123	0.291176040014455	-0.477034547433549	0.991084604346126	SystolicBloodPressure_Normalized_4080	FALSE	10	Lat.all-PC10.results
1.02334446532542	0.338780708544401	0.0391997839141455	0.999338414779278	PlateletCount_Normalized_30080	FALSE	10	Lat.all-PC10.results
-0.592442881889242	0.497013799289732	0.129160820935876	0.997341336868916	AlkalinePhosphatase_Normalized_30610	FALSE	10	Lat.all-PC10.results
1.67851952401409	0.00616559478172056	0.360524751144661	0.990860862586325	LDL_Normalized_30780	FALSE	10	Lat.all-PC10.results
-0.99623325248574	0.236626847053422	-0.627256434720795	0.98806192900327	TotalProtein_Normalized_30860	FALSE	10	Lat.all-PC10.results
0.633421751224003	0.555876074676487	0.829754317991162	0.984115977107871	MeanCorpuscularVolume_Normalized_30040	FALSE	10	Lat.all-PC10.results
-0.7200244643541	0.290498374078714	-0.473097058151449	0.990483543823339	HbA1c_Normalized_30750	FALSE	10	Lat.all-PC10.results
