q	p	q_NoSign	p_NoSign	phenotype	covar	pc
1.31619210522572	0.0534174246506538	40.1104343324741	0.227054213226408	Cholesterol_Normalized_30690	TRUE	10
0.28643791735626	0.52672000754901	15.4325527198296	0.567885587579216	AspartateAminotransferase_Normalized_30650	TRUE	10
1.26774848057604	0.122728867072228	68.4286120546699	0.111995684083075	HDL_Normalized_30760	TRUE	10
0.587488173507909	0.105059182959021	45.0401293182843	0.0318372654369423	BasophillPercentage_Normalized_30220	TRUE	10
-0.558021806428174	0.491902150100716	-68.0941205178132	0.22897822582237	BodyWeight_Normalized_21002	TRUE	10
-0.252896437025936	0.747682037270316	-6.01343434667942	0.873109782908254	Triglycerides_Normalized_30870	TRUE	10
-0.504051955658627	0.385942675866173	-23.2304523501918	0.467487089465224	BirthWeight_Normalized_20022	TRUE	10
-0.172193008017164	0.832209903271461	-45.828700007286	0.260059636667934	EosinophillPercentage_Normalized_30210	TRUE	10
-1.6928551154097	0.0477298248646842	-118.527786818942	0.0324953073915654	BMI_Normalized_21001	TRUE	10
0.615034432221296	0.526351849649677	84.8348222989568	0.143449552032204	StandingHeight_Normalized_50	TRUE	10
-0.333312013969376	0.559508064203494	-21.1480332884589	0.620507158828719	SystolicBloodPressure_Normalized_4080	TRUE	10
1.14277220585669	0.285189322992605	2.03258109485904	0.965740057245059	PlateletCount_Normalized_30080	TRUE	10
-0.469420406860101	0.585401257972392	2.97973524695	0.938351894654679	AlkalinePhosphatase_Normalized_30610	TRUE	10
1.09176174373608	0.0735633339690083	13.5121740918198	0.667985031970069	LDL_Normalized_30780	TRUE	10
-1.14511831481469	0.173984867257463	-48.3238253642111	0.2527110359751	TotalProtein_Normalized_30860	TRUE	10
0.66974607635227	0.52618365129416	37.9376936626619	0.354684803932287	MeanCorpuscularVolume_Normalized_30040	TRUE	10
-0.587432143764791	0.391568860449843	-19.8214259149639	0.617057053988489	HbA1c_Normalized_30750	TRUE	10
-0.443443150003401	0.518405138998362	-47.776642439554	0.364387962402912	WaistCircumference_Normalized_48	TRUE	10
-0.4047187352469	0.346836920859528	-33.0961026823361	0.114413928093695	AgeOfMenarche_Normalized_2714	TRUE	10
-0.431202661103148	0.58092285124375	-23.0439823473078	0.654396079610209	HipCircumference_Normalized_49	TRUE	10
-0.157668331227327	0.662862181214427	2.85544602377848	0.891556503237086	Glucose_Normalized_30740	TRUE	10
0.435933772686648	0.240085975335198	20.5822490521934	0.361898812036708	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	10
3.13765641722484	0.17490619777685	46.3907920259936	0.686655388489545	Cholesterol_Normalized_30690	TRUE	10
0.00952502981651814	0.994416452077169	62.8995687726367	0.460077785350368	AspartateAminotransferase_Normalized_30650	TRUE	10
2.60730785253297	0.361189343403872	41.4026393594133	0.777234682625574	HDL_Normalized_30760	TRUE	10
-0.310100091606223	0.78412491798966	30.897696117986	0.651551885806875	BasophillPercentage_Normalized_30220	TRUE	10
-4.10848738517851	0.105068352309652	-276.93399415363	0.136013616672168	BodyWeight_Normalized_21002	TRUE	10
-2.50915582504564	0.348297295744534	-186.945892875475	0.163375609257864	Triglycerides_Normalized_30870	TRUE	10
-1.53612930463542	0.425036387284145	-85.337107205273	0.407340027779758	BirthWeight_Normalized_20022	TRUE	10
1.86986356345639	0.450913513316922	172.302399657737	0.164871058883492	EosinophillPercentage_Normalized_30210	TRUE	10
-5.14696043621775	0.0689515783593787	-299.705557206194	0.122487608886198	BMI_Normalized_21001	TRUE	10
1.17446672222015	0.687257683948614	157.259189545984	0.407042025129547	StandingHeight_Normalized_50	TRUE	10
0.991262891843164	0.633621273588107	65.4110825741762	0.641932666576149	SystolicBloodPressure_Normalized_4080	TRUE	10
0.824485963149538	0.829026710373628	79.6907523159469	0.637944223228362	PlateletCount_Normalized_30080	TRUE	10
3.00150553994062	0.326106500772264	133.150556700193	0.323875969834147	AlkalinePhosphatase_Normalized_30610	TRUE	10
2.25773061755074	0.289226846408743	108.491277881519	0.297612152212239	LDL_Normalized_30780	TRUE	10
0.797352463133924	0.776059011417446	5.87825339855577	0.96830621279137	TotalProtein_Normalized_30860	TRUE	10
-1.39554421319897	0.668591254372206	119.110748474367	0.398000287493732	MeanCorpuscularVolume_Normalized_30040	TRUE	10
3.35027505868799	0.182903174021412	106.978725537188	0.421750786751262	HbA1c_Normalized_30750	TRUE	10
-1.8710202403544	0.396196850672574	-79.2816975408472	0.652111410287585	WaistCircumference_Normalized_48	TRUE	10
-0.2624960521732	0.834682575490498	13.9527255254439	0.823485844016597	AgeOfMenarche_Normalized_2714	TRUE	10
-5.97408062093755	0.019777077226385	-370.760163838707	0.0350451120775851	HipCircumference_Normalized_49	TRUE	10
-0.550296226230756	0.660821472203605	-24.2178414961056	0.715889986607548	Glucose_Normalized_30740	TRUE	10
-1.43019192846947	0.284893543777663	-27.8097977752732	0.721653149810055	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	10
1.31096044673546	0.0544015346998899	39.7013275015613	0.23188369166613	Cholesterol_Normalized_30690	FALSE	10
0.279695188390963	0.53655759910744	15.0761247226544	0.576859680768472	AspartateAminotransferase_Normalized_30650	FALSE	10
1.26315885857706	0.124343668374057	67.7943987626233	0.115954256045845	HDL_Normalized_30760	FALSE	10
0.587633033393047	0.104976065761438	45.0401293182843	0.0318372654369423	BasophillPercentage_Normalized_30220	FALSE	10
-0.535842085933182	0.509809511696051	-65.9769575621138	0.244488351111673	BodyWeight_Normalized_21002	FALSE	10
