PC	r2	rho	lc	up
1	0.364335709377979	-0.603602277479119	-0.607527417461425	-0.599647658490001
2	0.37022658440511	-0.0767520321480547	-0.0829105550006308	-0.0705876472102797
3	0.415167720570046	-0.211993247528891	-0.217904900433609	-0.206066039230695
4	0.415708832640721	0.023261813596337	0.0170663102185207	0.0294555307473616
5	0.41628027260853	-0.0239048066471213	-0.0300983111754846	-0.0177094665735511
6	0.42039001920806	-0.0641073053023914	-0.0702773455978749	-0.0579323599149128
7	0.420691560123403	-0.0173649353762521	-0.0235603635674127	-0.0111681734478332
8	0.420762987051007	-0.00845144837043924	-0.0146486449765932	-0.00225360248999411
9	0.421123070558221	-0.0189758674121915	-0.0251708709503555	-0.01277940649231
10	0.422398609389697	0.0357146849008742	0.0295232561913858	0.0419033731683591
11	0.422486387261067	0.00936898793413973	0.00317120815377649	0.0155660479628975
12	0.422715227805423	0.0151274759459014	0.00893034932330021	0.0213234405978388
13	0.424513381074529	-0.0424046389136034	-0.0485898323443012	-0.036216193413148
14	0.424897562467909	0.0196005470046237	0.0134042114667864	0.025795377220483
15	0.425474687791022	0.024023433693059	0.0178281243080124	0.0302168984345417
16	0.425492156946244	0.00417961482487748	-0.00201840139015349	0.0103773099277434
17	0.426222215801173	-0.0270196023083018	-0.0332120043376352	-0.0208251258915358
18	0.426242980904729	0.00455687796841892	-0.00164113231081765	0.0107545381522068
19	0.426245782467937	0.0016737876892836	-0.00452422317348743	0.00787166995612067
20	0.426390683188297	0.012037473117277	0.00583994489472161	0.0182340766406304
21	0.426897219339394	-0.0225063590782609	-0.0287003194954612	-0.0163106703842821
22	0.427118533114505	-0.0148766139331138	-0.0210726348649267	-0.00867945029123026
23	0.427263471092673	0.0120390202500282	0.00584149219892829	0.0182356234831123
24	0.427269871232226	-0.0025298504949749	-0.00872767757380758	0.00366817094979713
25	0.427272563335178	-0.00164076192676181	-0.00783864614070239	0.00455724834578037
26	0.427394412487414	-0.0110385303544261	-0.0172353151041277	-0.00484089762313967
27	0.427414705949908	0.00450483002966656	-0.00169318117339961	0.0107024951358556
28	0.427415434997997	0.000853847545590839	-0.00534414466438143	0.00705177415491922
29	0.427505490251284	-0.00948974369339788	-0.0156867849705058	-0.0032919733895528
30	0.427834362946917	-0.0181348467338945	-0.0243300759827582	-0.0119382246517729
31	0.427856170750096	-0.00466988510545426	-0.0108675344860704	0.00152812305233956
32	0.427887360899071	-0.00558481125918876	-0.0117823673470577	0.000613173893630927
33	0.427890194444771	-0.00168331630095622	-0.00788119800350088	0.00451469472959481
34	0.428165609811013	-0.0165956368357044	-0.0227912564743802	-0.0103987425134713
35	0.428166659316813	0.0010244577716303	-0.00517353900616351	0.00722237584091432
36	0.428500879248854	0.0182816822794035	0.0120850877029742	0.0244768727524916
37	0.428515653079378	-0.00384367033414017	-0.0100413950468253	0.00235434968150493
38	0.428960331288876	0.0210873950346944	0.0148913773934069	0.0272817932620868
39	0.428971316981289	-0.00331446564805131	-0.0095122341669468	0.00288355751683075
40	0.429003630964075	0.00568454151703814	-0.000513440500934314	0.0118820868085625
