PC	r2	rho	lc	up
1	0.529487670871172	0.72765903476228	0.723508396754182	0.731757061766559
2	0.808236976673377	0.527967139677574	0.521615794395733	0.534259970603617
3	0.808287492395189	-0.00710743838529341	-0.0158717134862325	0.00165792878734452
4	0.863591958216207	0.235169016853351	0.226871407193934	0.243432488848929
5	0.955607798459581	-0.303341144443324	-0.311278760073386	-0.295361206183496
6	0.956509819895171	-0.0300336864864812	-0.0387887391133099	-0.0212740230548216
7	0.956805297383434	0.0171894655028474	0.00842547108423043	0.0259508193737116
8	0.956805620454003	-0.000568379296456678	-0.00933359668256949	0.00819692542662123
9	0.956805758321993	0.000371296685299389	-0.00839399451910882	0.00913653083637745
10	0.956806038729773	0.000529540229250027	-0.00823576188357199	0.00929476097310104
11	0.956814811432025	-0.00296188141593478	-0.0117268408535768	0.00580353313953059
12	0.956815426365431	-0.000784178619548137	-0.0095493768676359	0.00798114012511852
13	0.956827215006602	0.0034334581488052	-0.00533196620364697	0.0121983549233205
14	0.956846034197761	-0.00433811561136828	-0.0131028812639112	0.00442731662218284
15	0.956858540131348	-0.00353636715725148	-0.0123012497391	0.00522905881492544
16	0.957016521745338	-0.0125690723099169	-0.0213319860246991	-0.00380422754032517
17	0.957019448341651	0.00171074717656202	-0.00705462249460396	0.010475853975596
18	0.957021135799837	0.00129902208139474	-0.00746632681826864	0.010064171374049
19	0.957022579473637	-0.00120154210555146	-0.00996670102395482	0.00756380144118724
20	0.957078497661546	0.00747784768795131	-0.00128750058771197	0.0162420469840149
21	0.957087051609494	0.00292470585733286	-0.00584070776003228	0.0116896700691115
22	0.957162265703651	0.00867258410885204	-9.268682300778e-05	0.0174365225142464
23	0.957176414420576	-0.00376148141649915	-0.0125263323046383	0.00500394745157625
24	0.957177147701406	0.000856320381783051	-0.00790900286823722	0.00962151204996513
25	0.957346473909162	0.0130125254823107	0.00424774608662664	0.0217753057157482
26	0.957977437784778	-0.0251189979031588	-0.0338768029761243	-0.0163573354876555
27	0.958274646906837	-0.0172397507606032	-0.0260010855975145	-0.00847576765599036
28	0.958280414783603	0.00240165467716646	-0.00636374317290331	0.0111666834918227
29	0.958296211849588	-0.00397455966820475	-0.0127393797389143	0.00479087112251192
30	0.9583046400005	-0.0029031123522896	-0.0116680793260143	0.00586230070905457
31	0.958309269508007	-0.00215161889964538	-0.0109166769025365	0.00661376971883417
32	0.958329380643288	-0.00448454013407708	-0.0132492832149386	0.00428089202602766
33	0.958330795189581	-0.00118935943885853	-0.00995451954854146	0.00757598342718282
34	0.958332501940975	-0.00130642685899266	-0.0100715754136487	0.00745892244048256
35	0.958341197033372	0.00294875307974596	-0.00581666114720187	0.0117137142061138
36	0.958342729184185	-0.00123781386180803	-0.0100029692179816	0.00752753169618331
37	0.958363914642316	0.00460276028910273	-0.00416267153745873	0.0133674848718723
38	0.958365028272252	0.00105529307960325	-0.00771004212372782	0.00982046612709478
39	0.958369692206996	0.00215961936362031	-0.00660576956721769	0.0109246764495381
40	0.958382219462186	0.00353938755393334	-0.00522603846297829	0.0123042697164208
