varE	testSize	gwasSize	contrast
0.0564495162281885	t100000	g50000	east
0.0745144829161566	t100000	g50000	north
0.591736500936536	t1000	g50000	east
0.514699839763173	t1000	g50000	north
0.909847141769306	t100	g50000	east
0.926437762234474	t100	g50000	north
0.0669702719599227	t50000	g50000	east
0.0814471618324792	t50000	g50000	north
0.174578012122887	t5000	g50000	east
0.178061679469688	t5000	g50000	north
