PC	r2	rho	lc	up
1	0.297690618939898	0.545610317845894	0.540725168299254	0.550458666714013
2	0.303384056196971	-0.0754548681959216	-0.08234135272336	-0.0685611784647808
3	0.347571593784839	0.210208320188863	0.203575319344399	0.21682202526457
4	0.637169356780162	0.538142882903425	0.53320169742267	0.543047353130353
5	0.695367984278481	0.241243916667679	0.234706739883085	0.247759273415532
6	0.704459492905408	-0.0953494063362186	-0.102211410597373	-0.088478328251995
7	0.705078574462941	0.0248813509744356	0.017954908557454	0.0318054053404182
8	0.721355784471301	-0.127582179362538	-0.134392902670948	-0.120759402873588
9	0.722215539685191	-0.0293215794902917	-0.036243753438482	-0.0223965920065606
10	0.723486317502033	0.0356479647376091	0.0287255224937472	0.0425669878082968
11	0.723516969655823	0.00553644132639733	-0.00139315025713734	0.012465501223027
12	0.723768735079043	0.0158671307257859	0.00893857540367167	0.022794162599936
13	0.723784438056461	-0.00396269711860499	-0.0108919361650835	0.00296692248743124
14	0.724769473920656	-0.0313852870809554	-0.0383064941076076	-0.0244610688744683
15	0.724773538679742	-0.00201612332652651	-0.00894553648554537	0.00491348345413631
16	0.724775344107784	-0.00134365868393221	-0.00827311978881023	0.00558593146165856
17	0.724816080737269	-0.00638252572399509	-0.0133114751200182	0.000547036605666606
18	0.726148846831014	-0.0365070655933035	-0.0434256180415961	-0.029585011788534
19	0.726299406852058	0.0122702823601795	0.00534119837298312	0.0191981881237104
20	0.726311334302652	0.00345361470699116	-0.00347600661599322	0.0103829043591443
21	0.726315462241453	-0.00203174008115023	-0.00896115205225901	0.00489786701137031
22	0.726368506524335	-0.00728315567633295	-0.0142119765487897	-0.000353635388572683
23	0.7267456249256	-0.0194195388803131	-0.0263455317386825	-0.0124916817310261
24	0.726778195210856	0.00570705364291778	-0.00122253284024012	0.0126360920556297
25	0.727041514163843	-0.0162270878068453	-0.0231540223598166	-0.00929859526341802
26	0.727107514811984	0.00812407427906035	0.00119460339520058	0.0150527650027105
27	0.727110519724264	0.00173346219592605	-0.00519613835591907	0.00866289627176674
28	0.727147620041491	0.00609100191798745	-0.000838571611651735	0.0130199905077916
29	0.727416869552618	-0.0164088258895189	-0.0233357106242478	-0.00948036572469627
30	0.727418496424601	0.00127548172768	-0.00565410638148623	0.00820494734360997
31	0.727427878803657	-0.00306306775806793	-0.00999239379841715	0.00386655244735218
32	0.72749931952865	-0.00845226772812992	-0.0153809049990833	-0.00152281878474948
33	0.727506086701826	-0.00260137660801399	-0.00953074293896757	0.00432823954964795
34	0.727506143471047	0.000238256623153227	-0.0066912925595778	0.00716778292443482
35	0.727531059958047	0.0049916475731663	-0.00193795759577412	0.011920773371205
36	0.727597830166746	-0.008171306504692	-0.0150999896275918	-0.00124183868644479
37	0.727599152313113	-0.00114984397038192	-0.00807931773063712	0.00577974021728983
38	0.72759982600982	-0.000820783138219865	-0.00775027719272194	0.00610878974177734
39	0.727601328595155	0.0012258012724012	-0.00570378531225221	0.00815527013495772
40	0.727616841421068	0.00393863089432273	-0.00299098887376761	0.0108678724139951
